ID,Cluster,#1,#2,#3,#4,#5,#6,#7,#8,#9
Q7XJ58,3,0.166900650343237,0.171507230395781,0.00615192909030435,0.00655781173234119,0.00610101356884387,0.00617997273995793,0.169565238974758,0.285918717683241,0.181117435471537
Q8L743,3,0.138889541504409,0.151915738435651,0.0145740436430457,0.0161378830576027,0.0144028105818252,0.0146681015624707,0.143599660763183,0.343019735507524,0.162792484944289
Q9XIB6,3,0.14033635295702,0.155077738050674,0.0218421548648521,0.0243569137722853,0.0216051758694291,0.0219776630483656,0.145714002796465,0.304118147003946,0.164971851636964
A0A178WA70,3,0.154179013990448,0.152866665436578,0.0157541717986179,0.0175770692703782,0.0155813178049995,0.0158518416892896,0.153416001257544,0.315236301118073,0.159537617634072
Q9SSQ8,3,0.133123195340068,0.153668673524891,0.0142403768938727,0.0156888250562214,0.0140909291673313,0.0143241165392033,0.140657955996382,0.348082868844119,0.166123058637912
A0A178WQL1,3,0.120623661706347,0.137016536897024,0.0102808925652159,0.0113315717803706,0.0101705441059467,0.0103424482870733,0.126636053404536,0.424396792555711,0.149201498697775
AT1G08043,3,0.143498296247117,0.150611374333536,0.0262973375331667,0.0300546303808375,0.0259575543240284,0.0264892776484491,0.145938227593164,0.292989183495223,0.158164118444478
Q42588,3,0.11435254668103,0.131698293640571,0.00918413004942974,0.010108452911241,0.00908936346716831,0.0092372418092918,0.120571896344222,0.451436502665726,0.14432157243132
A0A178WAJ6,3,0.137507341266813,0.146911982936987,0.0133446632552202,0.0147984340968528,0.0131972625095122,0.0134267024603162,0.140920638120849,0.363525483395281,0.156367491958168
Q9XIF8,3,0.167745971925451,0.165566779101493,0.00900969464242828,0.00968315820565028,0.00893022424329161,0.00905364029618931,0.167134876832502,0.290403514829704,0.17247213992329
Q9ASZ9,3,0.135653981493614,0.147211569378858,0.00609380083660571,0.00656704685068325,0.00603849199302042,0.006124328454681,0.140353253351776,0.392887525186689,0.159070002454072
A0A1P8AR38,3,0.140718392915628,0.149656863959631,0.0152579972372967,0.0170229533318452,0.0150873852501734,0.0153542154340277,0.143943512662597,0.343920275200111,0.15903840400869
Q9SRB0,3,0.14411139387424,0.159892360475482,0.0202565975807097,0.0223273700575184,0.0200301290807731,0.0203815090667016,0.149962976117827,0.293458548489057,0.16957911525769
Q9XIQ1,3,0.125862606452881,0.138164737310696,0.0106012964397218,0.0117058159082653,0.0104860787758381,0.0106655683650829,0.130271476393927,0.412726583303898,0.149515837049689
O80803,3,0.139788152900904,0.173687528870457,0.0152810169246513,0.0163570591309412,0.0151492480552932,0.0153537796152898,0.151793193667931,0.283760245614229,0.188829775220304
Q0WR90,3,0.142410830774275,0.154999210043901,0.0113728827893604,0.0124520522775221,0.011263362707232,0.0114345553033497,0.147161705569657,0.343385288071014,0.165520112463689
Q84WF7,3,0.149404249958464,0.154473820041064,0.0158509812485962,0.0176096177216462,0.0156785012167457,0.0159484165374572,0.151286707198666,0.317029955082742,0.162717750994619
Q8LFY8,3,0.135441082644516,0.152860055240072,0.0189486005640535,0.0211195079305299,0.0187441396396536,0.0190651901324461,0.141770639202709,0.328181683772921,0.163869100873099
Q9S7H8,3,0.139627045159394,0.149458308363617,0.0154329559258621,0.0172070585417228,0.01525222156869,0.0155331184233576,0.143136628835103,0.345440448364562,0.158912214817691
Q9FRL8,3,0.127702955113446,0.144901545868134,0.0113369424438281,0.0124980554158557,0.011216238276179,0.0114039318273281,0.133987705111475,0.390198090334644,0.156754535609111
Q9FWT2,3,0.120572059718624,0.131591552717781,0.00846460935074118,0.00932978076192634,0.00837710622572728,0.00851380839631933,0.124693301517964,0.445827225469053,0.142630555841865
Q8GYB8,3,0.12453218764482,0.147294853791963,0.0104496655620083,0.0114036795613607,0.0103457994244323,0.0105074272903716,0.132777007549992,0.391603581223842,0.16108579795121
Q9C972,3,0.145133227677792,0.153007747753748,0.0168521866393945,0.0187218237005195,0.0166670927163113,0.0169564005300646,0.147840812815864,0.322684925768604,0.162135782397702
Q9LZX2,3,0.16038970527319,0.160829842332816,0.0171473338737963,0.018866432687892,0.0169675191476575,0.0172468807937365,0.160335904153704,0.281294717792245,0.166921663944962
A0A178UH50,3,0.13267402637822,0.160222930091192,0.013978211358013,0.0151784228092122,0.0138428032014565,0.0140532971402624,0.142440499358927,0.332793432177432,0.174816377485286
AT5G03285,3,0.13693180598216,0.157870648215667,0.0155554550926705,0.0170776680311962,0.0154058629343724,0.015640671023128,0.144495484231292,0.326741260391467,0.170281144098046
Q5EAE9,3,0.143197972619741,0.163084992967726,0.0155850442511257,0.0169735620693247,0.0154189036903058,0.015675841871917,0.150325171765186,0.304221136554547,0.175517374210126
Q9LDZ0,3,0.151488715133561,0.156719002149432,0.0150089252209218,0.0165878181759796,0.0148397174313406,0.0151020237895688,0.153263115715795,0.311899313893013,0.165091368490389
Q9LXD9,3,0.152887507426832,0.15251711722221,0.0196182868225511,0.0221743231178273,0.0193732340542954,0.0197552211327931,0.152482499638752,0.302229674580389,0.15896213600435
Q9LX09,3,0.167508398802911,0.158541404985622,0.0133791350566547,0.0147126829978069,0.013234449521671,0.0134589153616772,0.16370655492752,0.291771643477831,0.163686814868306
Q9LXB0,3,0.157423880579104,0.154426188989133,0.0220471682766722,0.0249342077271353,0.0217637113278414,0.0222044718224895,0.155869181618229,0.281336795234562,0.159994394424833
A0JJX5,3,0.124243878274015,0.147599941247557,0.00752150496213633,0.008145205927693,0.00745432973439638,0.00755901276732289,0.132811681570746,0.402644043136825,0.162020402379309
Q93Z72,3,0.121151668261816,0.149267763948249,0.0106990436236163,0.0116374250523908,0.0105944610402188,0.0107573132430133,0.131008913727907,0.389451836937152,0.165431574165637
Q6J9Q2,3,0.143224805327613,0.159995172343693,0.0145418625365811,0.015855011202225,0.0143920818604905,0.0146242449172697,0.149323367206532,0.316806995574144,0.171236459031451
Q8VYZ3,3,0.147664969959626,0.150195017949971,0.0225836336953543,0.0257719330325769,0.02229840391648,0.0227450799976785,0.148353568635675,0.303361542778033,0.157025850034605
Q8GYX2,3,0.131685098927624,0.144075547317585,0.0152250592500745,0.0170586024704518,0.0150521094255719,0.0153226640252643,0.13612127560209,0.3711551580594,0.154304484921938
A0A384L1G6,3,0.13404978817448,0.145201550872453,0.0160559699767071,0.0180612828522114,0.0158640587622493,0.0161635410637552,0.138076517844363,0.361548639454896,0.154978650998886
