ID,NodeType,weight,x,y,color,label
A0A178U7B6,5,1,4.5507287979126,-3.94864726066589,#FFD700,A0A178U7B6
A0A178U979,3,1,2.30980777740479,-3.3152813911438,#B03060,A0A178U979
A0A178U998,4,1,3.32594537734985,-1.99223828315735,#FF4500,A0A178U998
A0A178U9K3,3,1,3.78122067451477,-3.2886860370636,#B03060,A0A178U9K3
A0A178U9Q7,2,1,4.30387401580811,-2.57522177696228,#00008B,A0A178U9Q7
A0A178U9T0,4,1,2.92722797393799,-1.76548099517822,#FF4500,A0A178U9T0
A0A178UA93,4,1,3.39787650108337,-1.36095178127289,#FF4500,A0A178UA93
A0A178UAT9,3,1,2.87995052337646,-3.60867834091187,#B03060,A0A178UAT9
A0A178UBT1,2,1,4.19467258453369,-2.67863583564758,#00008B,A0A178UBT1
A0A178UBW5,1,1,2.27277112007141,-1.59853708744049,#006400,A0A178UBW5
A0A178UED2,5,1,4.71912097930908,-3.88445639610291,#FFD700,A0A178UED2
A0A178UJA7,1,1,2.48888874053955,-1.74519073963165,#006400,A0A178UJA7
A0A178UJY6,5,1,4.93727684020996,-4.02276849746704,#FFD700,A0A178UJY6
A0A178UP49,3,1,3.46084570884705,-4.09287405014038,#B03060,A0A178UP49
A0A178UQE1,4,1,4.268874168396,-2.00348711013794,#FF4500,A0A178UQE1
A0A178URY2,1,1,2.43510127067566,-2.56698870658875,#006400,A0A178URY2
A0A178USH6,5,1,5.70873355865479,-3.63124394416809,#FFD700,A0A178USH6
A0A178UT10,2,1,4.77071666717529,-2.87892055511475,#00008B,A0A178UT10
A0A178UT14,4,1,3.31092691421509,-1.25458121299744,#FF4500,A0A178UT14
A0A178UT24,5,1,4.00835657119751,-4.12411737442017,#FFD700,A0A178UT24
A0A178UUI1,5,1,4.60358667373657,-4.01078128814697,#FFD700,A0A178UUI1
A0A178UXQ0,3,1,3.74123311042786,-4.09535980224609,#B03060,A0A178UXQ0
A0A178UYP1,5,1,5.31686544418335,-3.46497678756714,#FFD700,A0A178UYP1
A0A178V0L5,3,1,2.16068124771118,-3.78849792480469,#B03060,A0A178V0L5
A0A178V1C5_1,5,1,4.92748308181763,-3.51032543182373,#FFD700,A0A178V1C5_1
A0A178V1I8,3,1,2.42403984069824,-4.07676458358765,#B03060,A0A178V1I8
A0A178V4D3,2,1,3.83250427246094,-2.85738110542297,#00008B,A0A178V4D3
A0A178V5T8,2,1,4.01941967010498,-3.23280954360962,#00008B,A0A178V5T8
A0A178V5W7,3,1,2.74763107299805,-3.10336351394653,#B03060,A0A178V5W7
A0A178VF96,3,1,2.9565761089325,-4.00471210479736,#B03060,A0A178VF96
A0A178VPT1,2,1,5.33835077285767,-2.80076360702515,#00008B,A0A178VPT1
A0A178VRB0,3,1,3.86501121520996,-4.55851602554321,#B03060,A0A178VRB0
A0A178VRZ9,4,1,3.49334144592285,-1.71080040931702,#FF4500,A0A178VRZ9
A0A178VS52,5,1,4.24845695495605,-3.49105715751648,#FFD700,A0A178VS52
A0A178VUF2,2,1,4.54385995864868,-2.32818603515625,#00008B,A0A178VUF2
A0A178VXH5,2,1,4.8768367767334,-2.34736752510071,#00008B,A0A178VXH5
A0A178VY03,2,1,4.5051908493042,-2.68021965026855,#00008B,A0A178VY03
A0A178VYM0,4,1,3.47360444068909,-2.22497200965881,#FF4500,A0A178VYM0
A0A178W0G2,4,1,3.42230200767517,-2.37417721748352,#FF4500,A0A178W0G2
A0A178W4Z1,3,1,3.29282093048096,-3.75633525848389,#B03060,A0A178W4Z1
A0A178W501,3,1,3.59195709228516,-4.48567628860474,#B03060,A0A178W501
A0A178W564,2,1,4.77120018005371,-3.24482202529907,#00008B,A0A178W564
A0A178W6J0,2,1,4.56259059906006,-3.17585253715515,#00008B,A0A178W6J0
A0A178WAP9,4,1,3.46752643585205,-2.2687680721283,#FF4500,A0A178WAP9
A0A178WAU2,3,1,3.50327777862549,-3.83369565010071,#B03060,A0A178WAU2
A0A178WBQ2,4,1,3.01903963088989,-2.40152502059937,#FF4500,A0A178WBQ2
A0A178WCH2,1,1,2.61722278594971,-2.04786944389343,#006400,A0A178WCH2
A0A178WCL7,4,1,4.08368873596191,-2.00738120079041,#FF4500,A0A178WCL7
A0A178WCQ2,3,1,3.31772208213806,-3.4918372631073,#B03060,A0A178WCQ2
A0A178WEM2,3,1,3.08354449272156,-3.7785165309906,#B03060,A0A178WEM2
A0A178WHC7,3,1,3.3447093963623,-4.16016674041748,#B03060,A0A178WHC7
A0A178WIA4,4,1,3.05614233016968,-1.09542810916901,#FF4500,A0A178WIA4
A0A178WIR0,2,1,4.90186548233032,-2.13449597358704,#00008B,A0A178WIR0
A0A178WJH4,3,1,3.16632437705994,-3.69263672828674,#B03060,A0A178WJH4
A0A178WJZ2,1,1,2.08449697494507,-1.22243523597717,#006400,A0A178WJZ2
A0A178WKG5,2,1,5.0549488067627,-2.39881992340088,#00008B,A0A178WKG5
