ID,NodeType,weight,x,y,label
A0A140JWM8,,1,0,0,A0A140JWM8
A0A140JWM8_1,,1,0,0,A0A140JWM8_1
A0A178U7B6,,1,0,0,A0A178U7B6
A0A178U7S5,,1,0,0,A0A178U7S5
A0A178U979,,1,0,0,A0A178U979
A0A178U998,,1,0,0,A0A178U998
A0A178U9K3,,1,0,0,A0A178U9K3
A0A178U9Q7,,1,0,0,A0A178U9Q7
A0A178U9T0,,1,0,0,A0A178U9T0
A0A178UA82,,1,0,0,A0A178UA82
A0A178UA93,,1,0,0,A0A178UA93
A0A178UAT9,,1,0,0,A0A178UAT9
A0A178UB74,,1,0,0,A0A178UB74
A0A178UBT1,,1,0,0,A0A178UBT1
A0A178UBW5,,1,0,0,A0A178UBW5
A0A178UDF8,,1,0,0,A0A178UDF8
A0A178UEA7,,1,0,0,A0A178UEA7
A0A178UED2,,1,0,0,A0A178UED2
A0A178UFU2,,1,0,0,A0A178UFU2
A0A178UG27,,1,0,0,A0A178UG27
A0A178UG74,,1,0,0,A0A178UG74
A0A178UGA9,,1,0,0,A0A178UGA9
A0A178UGG9,,1,0,0,A0A178UGG9
A0A178UH50,,1,0,0,A0A178UH50
A0A178UJA7,,1,0,0,A0A178UJA7
A0A178UJV5,,1,0,0,A0A178UJV5
A0A178UJY6,,1,0,0,A0A178UJY6
A0A178UKY2,,1,0,0,A0A178UKY2
A0A178UP49,,1,0,0,A0A178UP49
A0A178UQE1,,1,0,0,A0A178UQE1
A0A178UQN6,,1,0,0,A0A178UQN6
A0A178URA3,,1,0,0,A0A178URA3
A0A178URY2,,1,0,0,A0A178URY2
A0A178USH6,,1,0,0,A0A178USH6
A0A178UT10,,1,0,0,A0A178UT10
A0A178UT14,,1,0,0,A0A178UT14
A0A178UT24,,1,0,0,A0A178UT24
A0A178UTR4,,1,0,0,A0A178UTR4
A0A178UUI1,,1,0,0,A0A178UUI1
A0A178UWL7,,1,0,0,A0A178UWL7
A0A178UXE6,,1,0,0,A0A178UXE6
A0A178UXQ0,,1,0,0,A0A178UXQ0
A0A178UYP1,,1,0,0,A0A178UYP1
A0A178UZY4,,1,0,0,A0A178UZY4
A0A178V036,,1,0,0,A0A178V036
A0A178V0H4,,1,0,0,A0A178V0H4
A0A178V0J4,,1,0,0,A0A178V0J4
A0A178V0L5,,1,0,0,A0A178V0L5
A0A178V1C5_1,,1,0,0,A0A178V1C5_1
A0A178V1I8,,1,0,0,A0A178V1I8
A0A178V1K1,,1,0,0,A0A178V1K1
A0A178V3G1,,1,0,0,A0A178V3G1
A0A178V3H8,,1,0,0,A0A178V3H8
A0A178V4D3,,1,0,0,A0A178V4D3
A0A178V4S8,,1,0,0,A0A178V4S8
A0A178V5T8,,1,0,0,A0A178V5T8
A0A178V5W7,,1,0,0,A0A178V5W7
A0A178V5Z5,,1,0,0,A0A178V5Z5
A0A178V6B8,,1,0,0,A0A178V6B8
A0A178V6H2,,1,0,0,A0A178V6H2
A0A178V7Q0,,1,0,0,A0A178V7Q0
A0A178VDD8,,1,0,0,A0A178VDD8
A0A178VF96,,1,0,0,A0A178VF96
A0A178VHT8,,1,0,0,A0A178VHT8
A0A178VPP6,,1,0,0,A0A178VPP6
A0A178VPT1,,1,0,0,A0A178VPT1
A0A178VQ81,,1,0,0,A0A178VQ81
A0A178VQI1,,1,0,0,A0A178VQI1
A0A178VQQ1,,1,0,0,A0A178VQQ1
A0A178VR47,,1,0,0,A0A178VR47
A0A178VRB0,,1,0,0,A0A178VRB0
A0A178VRY6,,1,0,0,A0A178VRY6
A0A178VRZ9,,1,0,0,A0A178VRZ9
A0A178VS52,,1,0,0,A0A178VS52
A0A178VUF2,,1,0,0,A0A178VUF2
A0A178VX40,,1,0,0,A0A178VX40
A0A178VXH5,,1,0,0,A0A178VXH5
A0A178VY03,,1,0,0,A0A178VY03
A0A178VYI2,,1,0,0,A0A178VYI2
A0A178VYM0,,1,0,0,A0A178VYM0
A0A178VZV0,,1,0,0,A0A178VZV0
A0A178W0F5,,1,0,0,A0A178W0F5
A0A178W0G2,,1,0,0,A0A178W0G2
A0A178W1Y6,,1,0,0,A0A178W1Y6
A0A178W2S0,,1,0,0,A0A178W2S0
A0A178W3E5,,1,0,0,A0A178W3E5
A0A178W4Z1,,1,0,0,A0A178W4Z1
A0A178W501,,1,0,0,A0A178W501
A0A178W564,,1,0,0,A0A178W564
A0A178W5J7,,1,0,0,A0A178W5J7
A0A178W6B2,,1,0,0,A0A178W6B2
A0A178W6J0,,1,0,0,A0A178W6J0
A0A178W6L4,,1,0,0,A0A178W6L4
A0A178W7A5,,1,0,0,A0A178W7A5
A0A178WA70,,1,0,0,A0A178WA70
A0A178WAJ6,,1,0,0,A0A178WAJ6
A0A178WAP9,,1,0,0,A0A178WAP9
A0A178WAU2,,1,0,0,A0A178WAU2
A0A178WAY0,,1,0,0,A0A178WAY0
A0A178WB81,,1,0,0,A0A178WB81
A0A178WBQ2,,1,0,0,A0A178WBQ2
A0A178WC31,,1,0,0,A0A178WC31
A0A178WCH2,,1,0,0,A0A178WCH2
A0A178WCL7,,1,0,0,A0A178WCL7
A0A178WCQ2,,1,0,0,A0A178WCQ2
A0A178WCZ2,,1,0,0,A0A178WCZ2
A0A178WD80,,1,0,0,A0A178WD80
A0A178WE54,,1,0,0,A0A178WE54
A0A178WEM2,,1,0,0,A0A178WEM2
A0A178WFX1,,1,0,0,A0A178WFX1
A0A178WGJ8,,1,0,0,A0A178WGJ8
A0A178WGQ1,,1,0,0,A0A178WGQ1
A0A178WHC7,,1,0,0,A0A178WHC7
A0A178WIA4,,1,0,0,A0A178WIA4
A0A178WIR0,,1,0,0,A0A178WIR0
A0A178WJA3,,1,0,0,A0A178WJA3
A0A178WJH0,,1,0,0,A0A178WJH0
A0A178WJH4,,1,0,0,A0A178WJH4
A0A178WJJ5,,1,0,0,A0A178WJJ5
A0A178WJZ2,,1,0,0,A0A178WJZ2
A0A178WKG5,,1,0,0,A0A178WKG5
A0A178WL27,,1,0,0,A0A178WL27
A0A178WMM6,,1,0,0,A0A178WMM6
A0A178WN36,,1,0,0,A0A178WN36
A0A178WNJ1,,1,0,0,A0A178WNJ1
A0A178WP44,,1,0,0,A0A178WP44
A0A178WPB0,,1,0,0,A0A178WPB0
A0A178WPD2,,1,0,0,A0A178WPD2
A0A178WQL1,,1,0,0,A0A178WQL1
A0A1I9LLE1,,1,0,0,A0A1I9LLE1
A0A1I9LMN9,,1,0,0,A0A1I9LMN9
A0A1I9LN71,,1,0,0,A0A1I9LN71
A0A1I9LNF2,,1,0,0,A0A1I9LNF2
A0A1I9LNH5,,1,0,0,A0A1I9LNH5
A0A1I9LNS3,,1,0,0,A0A1I9LNS3
A0A1I9LP10,,1,0,0,A0A1I9LP10
A0A1I9LP79,,1,0,0,A0A1I9LP79
A0A1I9LPN5,,1,0,0,A0A1I9LPN5
A0A1I9LPY7,,1,0,0,A0A1I9LPY7
A0A1I9LQ55,,1,0,0,A0A1I9LQ55
A0A1I9LQ90,,1,0,0,A0A1I9LQ90
A0A1I9LQT8,,1,0,0,A0A1I9LQT8
A0A1I9LQX0,,1,0,0,A0A1I9LQX0
A0A1I9LRZ7,,1,0,0,A0A1I9LRZ7
A0A1I9LS19,,1,0,0,A0A1I9LS19
A0A1I9LS54,,1,0,0,A0A1I9LS54
