fromNode,toNode,value,interaction_type,selfLoop,label,guid
F4KGN5,O49644,0.963442986396635,Very Strong,False,F4KGN5 - O49644,1057
F4KGY6,Q6PUA2,0.954594820336647,Very Strong,False,F4KGY6 - Q6PUA2,1058
F4KGY6,Q8RWU3,0.96872589549532,Very Strong,False,F4KGY6 - Q8RWU3,1059
Q2QAV0,Q9SCT4,0.963008826790791,Very Strong,False,Q2QAV0 - Q9SCT4,106
F4KGY6,Q8VYW2,0.952004179928599,Very Strong,False,F4KGY6 - Q8VYW2,1060
F4KGY6,Q9LVR0,0.954257334693026,Very Strong,False,F4KGY6 - Q9LVR0,1061
F4KGY6,A0A384LCB2,0.954290534903643,Very Strong,False,A0A384LCB2 - F4KGY6,1062
F4KGY6,F4K5X6,0.961089907796443,Very Strong,False,F4K5X6 - F4KGY6,1063
F4KGY6,O48652,0.956865328416512,Very Strong,False,F4KGY6 - O48652,1064
O04089,Q5MAU8,0.960641001091617,Very Strong,False,O04089 - Q5MAU8,1065
O04089,Q94JR6,0.966269031703446,Very Strong,False,O04089 - Q94JR6,1066
O04089,Q9FLK4,0.950337622985273,Very Strong,False,O04089 - Q9FLK4,1067
O04089,O23039,0.971901332415693,Very Strong,False,O04089 - O23039,1068
O04090,Q9SNB5,0.966018238246079,Very Strong,False,O04090 - Q9SNB5,1069
Q2QAV0,Q9SU98,0.958096792146375,Very Strong,False,Q2QAV0 - Q9SU98,107
O04090,A0A178VRB0,0.96115200531269,Very Strong,False,A0A178VRB0 - O04090,1070
A0A178W0F5,AT1G07367,0.971846006764137,Very Strong,False,A0A178W0F5 - AT1G07367,1071
O22806,P82266,0.954843169713702,Very Strong,False,O22806 - P82266,1072
O22806,A0A1P8B7H9,0.951732401155799,Very Strong,False,A0A1P8B7H9 - O22806,1073
O22806,Q9SU98,0.964204873437946,Very Strong,False,O22806 - Q9SU98,1074
O22806,F4JGP4,0.966540757291266,Very Strong,False,F4JGP4 - O22806,1075
O22812,Q9C5M8,0.967282180180789,Very Strong,False,O22812 - Q9C5M8,1076
O22812,Q9FI31,0.961832962255516,Very Strong,False,O22812 - Q9FI31,1077
O22812,Q9LZS0,0.955235711474386,Very Strong,False,O22812 - Q9LZS0,1078
O22812,Q9SJQ1,0.95022619856328,Very Strong,False,O22812 - Q9SJQ1,1079
Q2QAV0,F4IJK6,0.954011839144833,Very Strong,False,F4IJK6 - Q2QAV0,108
O22812,O65694,0.953253285946849,Very Strong,False,O22812 - O65694,1080
O22812,O80959,0.955582382455785,Very Strong,False,O22812 - O80959,1081
O23039,O82643,0.965772287776957,Very Strong,False,O23039 - O82643,1082
O23039,Q3E8R5,0.955923042796155,Very Strong,False,O23039 - Q3E8R5,1083
O23039,Q94JR6,0.95500515778664,Very Strong,False,O23039 - Q94JR6,1084
O23039,Q9FLK4,0.962125043881012,Very Strong,False,O23039 - Q9FLK4,1085
O23039,Q9FLW2,0.959709149783814,Very Strong,False,O23039 - Q9FLW2,1086
O23039,Q9LMZ9,0.974983679605642,Very Strong,False,O23039 - Q9LMZ9,1087
O23039,Q9STG2,0.958083608975129,Very Strong,False,O23039 - Q9STG2,1088
O23039,F4HQ23,0.95516371558965,Very Strong,False,F4HQ23 - O23039,1089
Q2QAV0,F4J761,0.951683584215207,Very Strong,False,F4J761 - Q2QAV0,109
O23181,O82811,0.951524933500304,Very Strong,False,O23181 - O82811,1090
O23181,Q8W110,0.959586788282515,Very Strong,False,O23181 - Q8W110,1091
O23181,O49644,0.961562857880595,Very Strong,False,O23181 - O49644,1092
O23683,Q8GXT1,0.961585779285591,Very Strong,False,O23683 - Q8GXT1,1093
O23683,F4JKA2,0.951149310169002,Very Strong,False,F4JKA2 - O23683,1094
O48652,Q8RWC9,0.963783618789331,Very Strong,False,O48652 - Q8RWC9,1095
O48652,Q94A08,0.961833486319177,Very Strong,False,O48652 - Q94A08,1096
O48771,O22806,0.956399107039791,Very Strong,False,O22806 - O48771,1097
O48790,Q39070,0.950165718642502,Very Strong,False,O48790 - Q39070,1098
O48790,Q9SU98,0.958387042058064,Very Strong,False,O48790 - Q9SU98,1099
O82811,O49644,0.977708515050622,Very Strong,False,O49644 - O82811,11
Q2QAV0,F4JDI6,0.953735438582512,Very Strong,False,F4JDI6 - Q2QAV0,110
O48790,F4JGP4,0.979518412886171,Very Strong,False,F4JGP4 - O48790,1100
O48790,O22806,0.957541543905269,Very Strong,False,O22806 - O48790,1101
O48818,O80959,0.978329765162375,Very Strong,False,O48818 - O80959,1102
O49644,Q9LMN6,0.955152823589048,Very Strong,False,O49644 - Q9LMN6,1103
O49650,Q8RUI1,0.983417469048888,Very Strong,False,O49650 - Q8RUI1,1104
O49650,Q9LJX8,0.981645048891557,Very Strong,False,O49650 - Q9LJX8,1105
O49650,Q9SAH7,0.98271210784621,Very Strong,False,O49650 - Q9SAH7,1106
O49650,O64757,0.990396128163816,Very Strong,False,O49650 - O64757,1107
O49650,O81005,0.950533103395116,Very Strong,False,O49650 - O81005,1108
O64469,Q94AL9,0.950124787913336,Very Strong,False,O64469 - Q94AL9,1109
Q2QAV0,F4K0J3,0.952534224860556,Very Strong,False,F4K0J3 - Q2QAV0,111
O64469,F4JS75,0.956820975623425,Very Strong,False,F4JS75 - O64469,1110
O64538,A0A1I9LRZ7,0.965084757763619,Very Strong,False,A0A1I9LRZ7 - O64538,1111
O64538,Q8W110,0.961434975121949,Very Strong,False,O64538 - Q8W110,1112
O64538,Q9FGS5,0.961941690712191,Very Strong,False,O64538 - Q9FGS5,1113
O64538,Q9LEX0,0.954888202983045,Very Strong,False,O64538 - Q9LEX0,1114
O64538,Q9LZ24,0.970109878611872,Very Strong,False,O64538 - Q9LZ24,1115
O64538,Q9SA49,0.960422508956425,Very Strong,False,O64538 - Q9SA49,1116
O64538,Q9SYK6,0.953787935240898,Very Strong,False,O64538 - Q9SYK6,1117
O64538,F4KGN5,0.952288045475065,Very Strong,False,F4KGN5 - O64538,1118
O64538,O49644,0.971760052160752,Very Strong,False,O49644 - O64538,1119
Q2V2Q8,O82637,0.986034862425854,Very Strong,False,O82637 - Q2V2Q8,112
O64538,O65924,0.972451417458739,Very Strong,False,O64538 - O65924,1120
O64763,Q8LGE4,0.970265827296267,Very Strong,False,O64763 - Q8LGE4,1121
O64763,Q9LMC9,0.950135095320235,Very Strong,False,O64763 - Q9LMC9,1122
O64857,P21276,0.964617967101715,Very Strong,False,O64857 - P21276,1123
O65694,Q9FI31,0.95239728336039,Very Strong,False,O65694 - Q9FI31,1124
O65924,Q9LMN6,0.961211241363443,Very Strong,False,O65924 - Q9LMN6,1125
O65924,F4JFX4,0.974203431663302,Very Strong,False,F4JFX4 - O65924,1126
O65924,O49644,0.989633609931821,Very Strong,False,O49644 - O65924,1127
O80803,Q93Z02,0.965088856097708,Very Strong,False,O80803 - Q93Z02,1128
O80803,Q9FPD5,0.964759089997017,Very Strong,False,O80803 - Q9FPD5,1129
Q2V2Q8,O82643,0.990170920470457,Very Strong,False,O82643 - Q2V2Q8,113
O81005,Q8RUI1,0.954653125259216,Very Strong,False,O81005 - Q8RUI1,1130
O81822,P19036,0.979494406659019,Very Strong,False,O81822 - P19036,1131
O81822,Q8GWL1,0.960736462466899,Very Strong,False,O81822 - Q8GWL1,1132
O81822,Q9ZW31,0.967640151019606,Very Strong,False,O81822 - Q9ZW31,1133
O81822,AT3G07365,0.961454289798542,Very Strong,False,AT3G07365 - O81822,1134
O81873,O82615,0.96200168036976,Very Strong,False,O81873 - O82615,1135
O81873,Q3EDD5,0.960195651306857,Very Strong,False,O81873 - Q3EDD5,1136
O81873,Q84VY3,0.982260150757362,Very Strong,False,O81873 - Q84VY3,1137
O81873,Q9LK31,0.972628805385221,Very Strong,False,O81873 - Q9LK31,1138
Q2V2Q8,Q9FLK4,0.951215161402734,Very Strong,False,Q2V2Q8 - Q9FLK4,114
Q2V2Q8,Q9FLW2,0.993356070989724,Very Strong,False,Q2V2Q8 - Q9FLW2,115
Q2V2Q8,Q9LMZ9,0.950888272385672,Very Strong,False,Q2V2Q8 - Q9LMZ9,116
Q2V2Q8,Q9M271,0.960913382787673,Very Strong,False,Q2V2Q8 - Q9M271,117
Q2V2Q8,Q9STG2,0.985404379198743,Very Strong,False,Q2V2Q8 - Q9STG2,118
Q2V2Q8,Q9SZW4,0.961372162672601,Very Strong,False,Q2V2Q8 - Q9SZW4,119
O82811,O65924,0.970499646558677,Very Strong,False,O65924 - O82811,12
Q2V2Q8,O23039,0.95128543547415,Very Strong,False,O23039 - Q2V2Q8,120
A0A178WJZ2,Q9SSE5,0.95447058729183,Very Strong,False,A0A178WJZ2 - Q9SSE5,121
Q38914,Q9LSG4,0.952634118169655,Very Strong,False,Q38914 - Q9LSG4,122
Q38914,Q9SJQ1,0.9511902560548,Very Strong,False,Q38914 - Q9SJQ1,123
Q39070,O81804,0.96327805899091,Very Strong,False,O81804 - Q39070,124
A0A178WMM6,Q9LVB9,0.962528054508904,Very Strong,False,A0A178WMM6 - Q9LVB9,125
A0A178WMM6,A0A178UKY2,0.950028945215345,Very Strong,False,A0A178UKY2 - A0A178WMM6,126
Q3E8R5,O82637,0.973643562763472,Very Strong,False,O82637 - Q3E8R5,127
Q3E8R5,O82811,0.958205660796745,Very Strong,False,O82811 - Q3E8R5,128
Q3E8R5,Q0WMJ8,0.961629194602658,Very Strong,False,Q0WMJ8 - Q3E8R5,129
P19036,Q8GWL1,0.955042642552425,Very Strong,False,P19036 - Q8GWL1,13
Q3E8R5,Q8RWE5,0.978717834188327,Very Strong,False,Q3E8R5 - Q8RWE5,130
Q3E8R5,Q8RXL6,0.958648457440297,Very Strong,False,Q3E8R5 - Q8RXL6,131
