ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
AT1G03457,0.547368421052632,0.00448023741678938,True,-0.869415890189856,0.015831466003923,307,290,282,317,444,700,547,494
AT1G03620,0.319634703196347,0.00915272248182553,True,-1.64550404265621,0.0306840095569771,22,7,20,21,62,77,36,44
AT1G03790,8.14285714285714,0.00113873793525832,True,3.02553509210714,0.00426771375386353,9,18,13,17,2,0,2,3
AT1G03905,0.550499445061043,0.00257551111460175,True,-0.861186985426663,0.00936952238357242,150,106,109,131,209,278,211,203
AT1G04220,2.17180182400789,0.00721868657549618,True,1.11889246383973,0.0246734476705557,1956,2196,1666,2993,761,1148,1114,1034
AT1G04310,0.623853211009174,0.0120941465536508,True,-0.680721483526587,0.0395428618399832,151,103,144,146,246,259,177,190
AT1G04360,1.76255707762557,0.00589851536287078,True,0.817669977666907,0.0204528826396801,224,290,290,354,154,185,189,129
AT1G04445,0.38,0.00502218875237959,True,-1.39592867633114,0.0176102989493429,10,4,9,15,18,29,30,23
AT1G04770,3.2125340599455,0.000797428388415344,True,1.68371175013655,0.00301628300329946,353,339,214,273,79,84,101,103
AT1G04920,1.8,0.0133999647123311,True,0.84799690655495,0.043359266276988,4,5,5,4,2,2,4,2
AT1G04980,1.74672187715666,0.00562314986247037,True,0.804649912553755,0.0195872672415575,740,583,568,640,481,404,318,246
