,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I891,I892,I893,I894
Q9LNI5, 0.306598,-1.7055798, 0.0016251, 0.0654194,TRUE,2.85635368742407E-07,8.48919405183396E-07,7.41752113861069E-07,8.64097608465852E-07,1.6382766967427E-06,2.22816437477108E-06,2.20411795357266E-06,2.86754399010242E-06
Q9LMM5, 0.3801199,-1.3954737, 0.0149244, 0.133557,TRUE,2.85635368742407E-07,2.12229851295849E-07,0,2.88032536155284E-07,5.46092232247565E-07,4.28493148994438E-07,4.00748718831393E-07,6.92165790714378E-07
Q9LMM0, 2.0148015, 1.0106377, 0.0078225, 0.1080879,TRUE,0.000209751572446508,0.000289481517167538,0.000172192455003462,0.000300417935209961,0.00012414496746428,0.000111922410517347,0.000119222743852339,0.000127061863009711
Q84VV7, 0.4095238,-1.2879807, 0.0053043, 0.0920636,TRUE,4.76058947904012E-07,5.30574628239622E-07,4.23858350777754E-07,6.72075917695663E-07,8.19138348371348E-07,1.62827396617886E-06,1.30243333620203E-06,1.38433158142876E-06
A0A178WJA3, 2.6040357, 1.3807492, 0.0229649, 0.1602198,TRUE,8.56906106227222E-07,1.37949403342302E-06,2.22525634158321E-06,1.44016268077642E-06,2.73046116123783E-07,5.99890408592213E-07,7.01310257954937E-07,6.92165790714378E-07
A0A178WAU2, 2.0998062, 1.0702562, 0.0021362, 0.0696701,TRUE,4.47495411029772E-06,4.13848210026905E-06,4.02665433238866E-06,6.04868325926097E-06,2.36639967307278E-06,2.0567671151733E-06,2.10393077386481E-06,2.37313985387787E-06
Q43383, 2.077445, 1.0548103, 0.0017849, 0.0657667,TRUE,1.32344387517315E-05,1.4007170185526E-05,1.44111839264436E-05,1.23853990546772E-05,3.91366099777422E-06,6.9415890137099E-06,9.71815643166127E-06,5.43844549847012E-06
Q9ZWA4, 0.2154921,-2.2142932, 0.0026092, 0.0730032,TRUE,7.42651958730259E-06,1.11420671930321E-05,4.66244185855529E-06,8.16092185773305E-06,4.21401172551038E-05,1.95392875941464E-05,4.14774923990491E-05,4.25187557153118E-05
AT1G04223, 4.7872887, 2.2592088, 0.0013051, 0.0624137,TRUE,4.76058947904012E-07,5.30574628239622E-07,7.41752113861069E-07,4.80054226925474E-07,1.82030744082522E-07,8.56986297988876E-08,0,1.97761654489822E-07
Q5XEP9, 2.027979, 1.0200427, 0.0054931, 0.0933586,TRUE,0.00018623426042005,0.000233028376722842,0.000176537003098934,0.000287360460237588,0.000107216108264605,9.04977530676253E-05,0.000111107582296004,0.000126666339700731
P93824, 2.8445585, 1.5082047, 0.0004189, 0.0470825,TRUE,2.11370172869382E-05,2.96060642557709E-05,3.23191992468037E-05,2.71710692439818E-05,7.9183373675897E-06,1.19121095420454E-05,1.03192795099084E-05,8.60263197030727E-06
AT1G04425, 0.3826503,-1.3859016, 0.0010081, 0.058598,TRUE,2.76114189784327E-06,1.06114925647924E-06,3.39086680622203E-06,2.20824944385718E-06,6.64412215901205E-06,7.02728764350878E-06,5.6104820636395E-06,5.3395646712252E-06
AT1G04273, 0.377163,-1.40674, 0.0210777, 0.1539834,TRUE,9.52117895808025E-08,1.06114925647924E-07,1.05964587694438E-07,1.92021690770189E-07,4.55076860206305E-07,1.71397259597775E-07,4.00748718831393E-07,2.96642481734734E-07
P0DI10, 0.4570669,-1.1295228, 0.0259511, 0.1664574,TRUE,2.85635368742407E-07,2.12229851295849E-07,2.11929175388877E-07,9.60108453850947E-08,6.37107604288826E-07,4.28493148994438E-07,4.00748718831393E-07,2.96642481734734E-07
Q9LR44, 0.3344129,-1.5802976, 0.0080575, 0.1088816,TRUE,1.14254147496963E-06,5.30574628239622E-06,6.78173361244406E-06,2.78431451616775E-06,9.10153720412609E-06,1.57685478829953E-05,1.35252692605595E-05,9.49255941551147E-06
Q9SYK9, 0.1296951,-2.9468036, 0.0118586, 0.1231613,TRUE,2.38029473952006E-06,1.69783881036679E-06,2.43718551697208E-06,2.30426028924227E-06,1.34702750621066E-05,2.87090409826273E-05,1.63305102923793E-05,9.49255941551147E-06
Q9LNE7, 2.1066091, 1.0749226, 0.0332462, 0.1870885,TRUE,6.37918990191377E-06,5.83632091063585E-06,2.43718551697208E-06,6.62474833157153E-06,2.91249190532035E-06,2.91375341316218E-06,1.70318205503342E-06,2.57090150836769E-06
Q9LNE3, 2.6999486, 1.432932, 0.0422162, 0.210123,TRUE,7.6169431664642E-07,1.06114925647924E-06,3.17893763083315E-07,1.15213014462114E-06,1.82030744082522E-07,3.4279451919555E-07,2.00374359415696E-07,4.94404136224556E-07
AT1G04463, ∞, ∞, 0.0290695, 0.1753664,TRUE,2.85635368742407E-07,2.12229851295849E-07,3.17893763083315E-07,0,0,0,0,0
Q9LNW0, 11.2658544, 3.4938848, 0.004446, 0.0854109,TRUE,9.58782721078681E-05,8.95609972468483E-05,3.79353223946089E-05,5.30939974979574E-05,2.82147653327909E-06,3.25654793235773E-06,5.4101077042238E-06,1.30522691963283E-05
Q9LNW3, 0.2290224,-2.1264391, 0.0182306, 0.1448352,TRUE,9.52117895808025E-08,1.06114925647924E-07,5.29822938472192E-07,2.88032536155284E-07,1.18319983653639E-06,6.85589038391101E-07,8.01497437662785E-07,1.7798548904084E-06
F4HSD5, 0.2734724,-1.870533, 0.0001454, 0.0370079,TRUE,5.23664842694414E-06,5.83632091063585E-06,3.70876056930534E-06,4.99256396002492E-06,1.79300282921284E-05,1.54257533637998E-05,2.22415538951423E-05,1.671085980439E-05
Q9LQN6, 2.7665742, 1.4681006, 0.0017276, 0.0654444,TRUE,5.73174973276431E-05,6.00610479167252E-05,3.3590774299137E-05,5.43421384879636E-05,1.62917515953857E-05,1.73111232193753E-05,2.03379974806932E-05,2.02705695852068E-05
Q9LQQ9, 0.4586449,-1.1245505, 0.04116, 0.207198,TRUE,4.95101305820173E-06,3.50179254638151E-06,4.87437103394417E-06,5.76065072310568E-06,1.22870752255702E-05,4.37063011974327E-06,1.08202154084476E-05,1.41399582960223E-05
Q3EDG6, 0.1901497,-2.3947925, 0.0051446, 0.091169,TRUE,8.56906106227222E-07,5.30574628239622E-07,9.53681289249946E-07,1.05611929923604E-06,4.64178397410431E-06,6.34169860511768E-06,4.60861026656102E-06,2.27425902663296E-06
Q9SGD1, 0.4766664,-1.0689482, 0.0410146, 0.2069684,TRUE,4.76058947904012E-06,3.39567762073358E-06,3.70876056930534E-06,4.41649888771436E-06,9.64762943637366E-06,3.51364382175439E-06,1.01189051504927E-05,1.08768909969402E-05
Q9FRR8, 2.0267949, 1.0192001, 0.0085031, 0.1112243,TRUE,2.25651941306502E-05,2.54675821555019E-05,1.38813609879714E-05,2.39067005008886E-05,1.16499676212814E-05,9.42684927787764E-06,8.1151615563357E-06,1.31511500235732E-05
Q9XFR5, 2.1770209, 1.1223553, 0.0000682, 0.0301456,TRUE,0.000214321738346386,0.00018506443032998,0.000187027497280684,0.000217560575642625,9.6294263619654E-05,7.395791751644E-05,9.1070146354434E-05,0.000107977863351443
O80518, 2.8410029, 1.5064003, 0.0062097, 0.0986966,TRUE,7.6169431664642E-06,7.85250449794641E-06,3.70876056930534E-06,6.91278086772682E-06,2.27538430103152E-06,2.14246574497219E-06,1.50280769561772E-06,3.26306729908207E-06
Q9FUS8, 2.3238813, 1.2165364, 0.036122, 0.1946619,TRUE,2.33268884472966E-05,4.2127625482226E-05,5.3406152197997E-05,2.32346245831929E-05,1.53815978749731E-05,1.25976985804365E-05,1.83342538865362E-05,1.48321240867367E-05
Q8LC45, 2.5364047, 1.3427849, 0.0031837, 0.0787804,TRUE,1.40913448579588E-05,1.4007170185526E-05,7.735414901694E-06,1.40175834262238E-05,5.18787620635187E-06,5.31331504753103E-06,4.30804872743747E-06,4.84516053500065E-06
Q45GQ7, 0.1929153,-2.3739603, 0.0201568, 0.1507265,TRUE,0,0,1.05964587694438E-07,9.60108453850947E-08,3.64061488165044E-07,8.56986297988876E-08,3.00561539123545E-07,2.96642481734734E-07
O04090, 2.278113, 1.1878393, 0.0238082, 0.1628596,TRUE,0.000115301477182352,0.000204059002020959,0.000257176054334402,0.000131150814796039,7.56337741662878E-05,7.99568216023621E-05,7.66431924765039E-05,7.84124960052146E-05
O04089, 2.4444309, 1.2894986, 0.0050072, 0.0900958,TRUE,4.95101305820173E-05,4.03236717462113E-05,2.79746511513317E-05,4.23407828148268E-05,1.39253519223129E-05,1.16550136526487E-05,1.42265795185144E-05,2.57090150836769E-05
F4I8W6, 2.640042, 1.4005609, 0.0020631, 0.0693845,TRUE,6.28397811233296E-06,6.26078061322754E-06,7.84137948938844E-06,7.77687847619267E-06,1.82030744082522E-06,1.3711780767822E-06,4.60861026656102E-06,2.86754399010242E-06
F4IAL1, 11.6451952, 3.5416629, 0.0050512, 0.0904653,TRUE,2.85635368742407E-07,3.18344776943773E-07,1.05964587694438E-07,2.88032536155284E-07,0,8.56986297988876E-08,0,0
AT1G04927,0,-∞, 0.0002807, 0.044796,TRUE,0,0,0,0,1.82030744082522E-07,1.71397259597775E-07,1.00187179707848E-07,1.97761654489822E-07
