ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,I591,I592,I593,I594
AT1G01300,0.660756248664815,0.00345702548183002,True,-0.59780993162269,0.0114439233872908,963,666,728,736,1012,867,753,470
AT1G01380,0.329268292682927,0.00024214760639385,True,-1.60266450245462,0.00092398499724536,3,8,7,9,17,13,24,16
AT1G01480,1.97637795275591,0.00801516116156731,True,0.982858867178606,0.0242443234499531,64,64,53,70,25,88,63,63
AT1G01610,1.94010416666667,0.0162613931354227,True,0.956134114628368,0.0446361041183988,2203,2728,1625,3129,978,1498,1657,1363
AT1G01640,0.598240469208211,0.0123110436543059,True,-0.741202587052677,0.0351764638215186,238,197,176,205,402,470,322,403
AT1G01690,0.525573192239859,0.000345471890596194,True,-0.928036404480067,0.0013094986077671,80,57,80,81,139,109,94,68
AT1G01695,0.368421052631579,0.0150107166402726,True,-1.44057259138598,0.04165361411914,1,4,1,1,6,6,6,1
AT1G01700,0.341463414634146,0.0171146669674545,True,-1.55019708256048,0.0465567859975327,5,3,9,11,18,6,11,11
AT1G01720,0.504546514339007,0.00658064538531433,True,-0.986940816808741,0.0203470871032975,465,462,622,615,712,759,707,665
AT1G02000,1.53309481216458,0.013621600169925,True,0.61644692126931,0.0383770467084919,492,479,320,423,255,410,400,335
AT1G02220,0.580152671755725,0.0180072506529163,True,-0.785495488093865,0.0486296541239236,216,192,170,258,271,308,191,166
AT1G02250,0.294117647058824,0.0150107166402726,True,-1.76553474636298,0.04165361411914,1,1,1,2,1,8,1,3
AT1G02400,1.92318634423898,0.0150097984477731,True,0.943498557209649,0.0416578140475983,394,390,219,349,102,213,188,130
AT1G02690,0.631976953546993,0.00555332957412769,True,-0.662056146626923,0.0174943157290146,550,345,425,435,618,484,409,255
AT1G02730,0.459538702111024,0.000794553304142021,True,-1.12174172522862,0.00292500110739378,607,475,622,647,675,607,652,430
AT1G02870,0.658307210031348,0.0124748947487825,True,-0.603167096098747,0.0355645568216663,283,189,336,242,498,327,278,192
Q8L4H0,0.602272727272727,0.00253613906776828,True,-0.731511164074098,0.00863320384896939,58,37,63,54,68,55,48,30
Q9SRZ0,0.452830188679245,0.0023376713075085,True,-1.14295795384204,0.008007727888208,9,6,4,5,17,12,15,11
Q9SA60,0.638783269961977,0.00789254667672479,True,-0.646601566513542,0.0239368358181769,48,36,44,40,53,40,34,34
AT1G03110,0.587313432835821,0.000682807035702337,True,-0.767797459837648,0.0025302114057142,220,135,227,205,291,204,206,102
AT1G03120,0.588235294117647,0.00376030879666645,True,-0.765534746362977,0.012351231904073,4,5,5,6,2,8,7,4
AT1G03340,2.56164383561644,0.00418949466756624,True,1.35706990100762,0.0136018635743537,47,39,38,63,16,25,35,26
AT1G03410,2.29059829059829,3.38423107963948E-05,True,1.19572447087437,0.000131806894680695,139,132,136,129,171,168,174,224
AT1G04183,0.656149732620321,0.00298933286631131,True,-0.607903021112094,0.0100363079535089,334,223,347,323,519,441,423,284
AT1G03530,0.591075347476225,0.00828318497102387,True,-0.758586044854265,0.0249164603579649,251,145,221,191,377,257,200,151
AT1G03620,0.414201183431953,0.00491940372921884,True,-1.27159641933722,0.015681858073176,22,7,20,21,62,77,36,44
AT1G03660,2.22,0.0121078359004447,True,1.15055967657538,0.0346710132570863,60,64,33,65,17,84,43,54
AT1G03780,0.51237766263673,0.00646746299049128,True,-0.964720512856633,0.0200387246319599,253,122,285,230,359,267,274,158
AT1G03790,4.07142857142857,0.003999577162493,True,2.02553509210714,0.0130644973535451,9,18,13,17,2,0,2,3
AT1G03820,0.178694158075601,0.000264777697695395,True,-2.48443562476719,0.00100876386950291,78,105,44,85,112,144,117,90
AT1G03830,0.623173277661795,0.00484562186360127,True,-0.682294724471375,0.0154783419998794,189,118,148,142,240,188,133,124
AT1G03905,0.528221512247071,0.0146017272190395,True,-0.920785037266899,0.0406999982084878,150,106,109,131,209,278,211,203
AT1G04223,4.4,0.00185016494058932,True,2.13750352374994,0.00646378619297146,5,5,7,5,5,3,4,4
AT1G03960,0.655737704918033,0.0123547479958879,True,-0.608809242675524,0.0352807447770554,97,71,112,120,159,152,130,89
AT1G04020,0.641111111111111,0.0039195636252356,True,-0.641353682571555,0.0128153534619546,175,103,153,146,216,146,152,112
