ID,Cluster,x,y
A0A384KX04,1,1.74547823485223,-1.48210943809814
Q9ZWA4,1,2.15870522949867,-2.6452337747332
F4I8Q8,1,2.4456932967055,-1.24495197239596
Q9SYL5,1,1.69155681941916,-1.96018926308995
Q9XI76,1,2.878884195578,-2.09583951053772
Q9M9R6,1,2.01093352833933,-1.89617379614843
A0A1P8AQK1,1,2.45456575880614,-2.70615296131338
Q9FUY7,1,2.28081089564126,-1.93917161458551
Q8LFM6,1,2.81071084987235,-1.54695699562232
Q9FE54,1,1.80255586433221,-2.38809451116516
Q2NND9,1,2.25790274503488,-3.08465940915618
Q9FZ66,1,1.96465948774364,-3.10355832295103
F4ICD9,1,1.88896800217541,-3.01797385633764
F4HR11,1,2.85081251357673,-2.21893249770223
Q9LM84,1,2.38131588081337,-2.61185486587832
F4HUN4,1,2.34100972523732,-1.63353987113284
Q501F7,1,2.00915200624603,-1.34741958331529
A0MDN4,1,1.78862917721872,-3.12485006222068
Q8LAL6,1,2.3738274545418,-1.84013704863623
A0A178WCH2,1,2.61722288988234,-2.04786951910401
AT1G26233,1,2.6074967976824,-2.83361339319185
AT1G06113,1,2.46532509202223,-2.91077133575629
Q8RXT9,1,2.6886215909758,-1.72917683194784
F4I352,1,1.81827045659566,-3.1980147960476
A0A178WJZ2,1,2.08449691866776,-1.2224352756945
AT1G06537,1,1.83714934134174,-2.46700743955301
A0A178WL27,1,2.79347637365574,-2.59780022683271
Q4PT10,1,2.34291150551877,-1.96089608568874
Q8LCE4,1,2.45544030501997,-1.21046236937322
A0A1P8APK5,1,2.49238827350765,-3.04978013305347
Q8L7S1,1,1.78163859763227,-2.73676885853392
AT1G07393,1,1.80533039740117,-1.87519182911407
AT1G07407,1,2.81488105270336,-1.86380259124487
Q9C749,1,2.42732061104549,-1.37180585623026
Q9M7Q5,1,2.18226458011335,-3.02551452011234
A0A1P8AQT5,1,2.29926525395822,-2.60055300192478
F4IEM5,1,2.16561176999886,-2.38311347588962
AT1G07963,1,2.40929840332293,-1.45217106390468
A0A1P8ASI5,1,2.50415216902476,-2.66848435707166
Q9FXB2,1,2.69417802310613,-2.90464334227669
AT1G08183,1,2.01882924776189,-1.71550823552198
Q9C6F6,1,2.43152804135423,-3.05230609738023
O22693,1,2.60478915101758,-2.42386133024135
Q9MAV4,1,2.14935267191854,-2.46221915011502
Q94K43,1,2.19013995845997,-2.55167104356222
Q9SXE1,1,2.56930022404986,-3.02549871705225
AT1G08567,1,2.70338896074446,-1.91274256874221
Q5XVH6,1,2.23718103018433,-2.15804244522974
Q2V4F3,1,2.69186074641952,-1.8160007995575
Q42059,1,1.83121238970469,-2.49499148895698
AT1G08723,1,1.83270725560423,-1.4033001928211
Q9XIQ2,1,1.79982804446922,-2.457567338409
A0A1P8AR77,1,2.17515023667934,-2.65597743600638
Q9SS04,1,2.55638369987129,-1.19227665728987
Q9SRZ8,1,2.24917040697153,-1.93705499754864
Q5XVH2,1,2.29716182646966,-1.58676690480567
Q9ZW91,1,1.91319516211108,-1.43129780132896
Q9FXE2,1,2.07431619043017,-2.41852923523582
Q9C9W8,1,2.19719731243188,-1.86987848245953
A0A1P8AS11,1,2.59482902675949,-1.55413153623023
AT1G69572,1,2.20587789964089,-2.6482854064904
Q9CAS2,1,2.88659833954831,-2.82193552758321
Q84UU9,1,2.12796621590313,-3.32856131619012
Q9C9A3,1,2.61657161122813,-1.11819856983495
A0A1P8ATP2,1,2.73959134021152,-1.55012223757036
Q94CH5,1,2.64311221018203,-2.76642110610485
Q9CAQ4,1,2.06403254869136,-2.52688810796246
A0A1P8AVT1,1,2.229079290468,-3.16094617043902
Q9ZVA0,1,1.59590169566373,-2.40382936270005
AT1G09867,1,1.8684565424594,-3.07178262473996
Q9LYV8,1,2.59271571864852,-2.2433845588072
Q9LZE9,1,2.41976993615577,-1.73670223392313
Q39112,1,1.65283430864627,-2.19842114910608
Q9LFP1,1,2.43883276263499,-2.67883572990807
A0A178UBW5,1,2.27277119949284,-1.5985371292506
Q39057,1,1.88626873495836,-2.63975380692881
Q2V371,1,2.3480354349502,-1.39784765559475
AT5G02555,1,2.13166788777982,-1.91181740456925
Q8L616,1,1.86181567622454,-1.90361997518731
Q8LBI9,1,1.81845652078605,-2.99939431139036
Q9C568,1,2.88796402980286,-2.30733285692338
Q39152,1,2.91055708310043,-2.68509683754889
F4KEA4,1,2.77731645801593,-2.26862267649948
O49195,1,2.28327253106015,-2.79087125228617
F4JZS0,1,2.18922460388048,-3.02988773687641
Q7X9N2,1,2.16550807040765,-1.70682044115142
F4K5X6,1,2.75737216447509,-1.69159217407828
Q9FKN3,1,3.00571094833416,-2.64452089524763
Q9FLZ0,1,2.00641830282502,-2.5896024827926
Q9FIX2,1,2.3082481991237,-2.26726530683427
F4KFX5,1,1.98371006627059,-2.83822972845099
AT5G06115,1,2.0433881968341,-2.14353065129362
Q9FN69,1,1.51296433087251,-2.72145980630597
Q5Q0A4,1,2.23628091083825,-2.9798079906135
A0MFL4,1,2.32176722302617,-2.32432780668584
Q1PDN6,1,2.18811657836316,-2.13407923420635
Q9FIY7,1,2.70712068579969,-2.38329836752667
A0A1P8B9C0,1,2.30558188733941,-2.91409488980124
Q9FH44,1,2.46403389293684,-2.28022631373081
AT5G06825,1,2.64552119136633,-2.87773538406668
Q9FI31,1,1.94904355850525,-2.23452496841107
Q9FGQ0,1,2.02048816740399,-2.25538772449847
A0A1P8BA64,1,2.68515908662501,-1.94721529155167
F4KG50,1,1.73089612378337,-2.70825146726366
A0MFP5,1,1.59578597567497,-2.94094673536021
A0A178UJA7,1,2.48888867093551,-1.74519074457641
Q9LST3,1,2.42507974166356,-2.99407807435092
F4K0J3,1,1.89398078619826,-2.86771043239053
Q8LRK8,1,2.1820471089402,-1.5241282819215
Q9FJJ1,1,1.91044795140038,-2.6175188141882
Q9FMK7,1,2.33826158785681,-1.44834736655689
Q5XUX6,1,2.38425433679242,-2.51874675081116
Q8VYI9,1,2.625972665031,-2.95413010722154
Q9LV80,1,2.06849427394028,-2.68367495393695
Q9FJQ2,1,2.42309530934047,-3.07569302455755
Q9LSL6,1,1.83370359310946,-3.37726048146056
AT3G01005,1,1.83315519072588,-1.47728333588146
A0A384L815,1,1.74652725559217,-2.43260673006026
Q9S702,1,2.85784058453204,-1.91106025122794
Q9SRU3,1,1.82781731523014,-1.39921232642711
Q84J95,1,2.59290734457814,-2.38444294660371
Q9S7A0,1,1.92444277021622,-3.33311388647829
F4J3L8,1,2.17235736689651,-2.68230402643405
AT3G01795,1,2.35613011439596,-1.7953319560995
A0A1I9LNF2,1,2.52271325707408,-2.38508463687666
Q9S7W4,1,2.28022741075905,-1.68637245393857
Q9SR86,1,1.72393738115839,-2.10799687797515
AT3G02115,1,2.44036409506978,-2.0522199562979
Q9C7D3,1,2.2592549307286,-1.60946703416637
AT3G02495,1,1.6516221454025,-1.79295905363756
Q9LE86,1,1.98076996744579,-1.34065092508128
AT3G02655,1,2.49799325830868,-2.12020795754395
Q9LIB9,1,2.61491290437915,-2.55365924612243
A0A384LES5,1,2.02727869068765,-1.61141414391835
Q9LUE0,1,2.71953766590901,-2.75382869190108
Q9FRV4,1,2.81330124586069,-2.26491321109587
