,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I861,I862,I863,I864
Q6ID87, 4.4853678, 2.1652263, 0.0152371, 0.5660798,TRUE,2.85635368742407E-07,2.12229851295849E-07,1.05964587694438E-07,2.88032536155284E-07,0,9.3755402655078E-08,1.0508276949422E-07,0
Q8GXQ7, 2.7098771, 1.4382274, 0.0163201, 0.5731572,TRUE,1.80902400203525E-06,1.16726418212717E-06,2.11929175388877E-06,2.40027113462737E-06,1.64862956019179E-07,1.31257563717109E-06,5.25413847471099E-07,7.6326973049073E-07
B3H5Q1, 0.4530625,-1.1422179, 0.0053695, 0.5028645,TRUE,1.64716395974788E-05,1.67661582523721E-05,2.45837843451097E-05,3.61960887101807E-05,4.58319017733319E-05,4.94090971992261E-05,6.60970620118643E-05,4.61778186946892E-05
Q9SA57, 2.0546521, 1.0388941, 0.0027158, 0.4386197,TRUE,3.8084715832321E-07,5.30574628239622E-07,5.29822938472192E-07,5.76065072310568E-07,3.29725912038359E-07,1.87510805310156E-07,2.1016553898844E-07,2.5442324349691E-07
Q84TF4, 0.4689848,-1.0923871, 0.0046022, 0.494541,TRUE,4.49399646821388E-05,6.70646330094883E-05,3.94188266223311E-05,0.000105995973305145,0.000131890364815344,0.000123194599088772,0.000155522498851445,0.000138279032840571
AT1G04223, 4.7536614, 2.2490391, 0.0013076, 0.3526742,TRUE,4.76058947904012E-07,5.30574628239622E-07,7.41752113861069E-07,4.80054226925474E-07,1.64862956019179E-07,9.3755402655078E-08,2.1016553898844E-07,0
O64492, 2.3929613, 1.2587971, 0.0084892, 0.5133847,TRUE,1.99944758119685E-06,1.27337910777509E-06,1.80139799080545E-06,1.24814099000623E-06,6.59451824076718E-07,1.03130942920586E-06,3.15248308482659E-07,6.36058108742275E-07
P93821, 5.2775233, 2.399861, 0.0169689, 0.5657417,TRUE,1.90423579161605E-07,6.36689553887547E-07,6.3578752616663E-07,5.76065072310568E-07,0,2.81266207965234E-07,1.0508276949422E-07,0
Q1PFY7,0,-∞, 0.0258276, 0.5933749,TRUE,0,0,0,0,3.29725912038359E-07,9.3755402655078E-08,1.0508276949422E-07,1.27211621748455E-07
Q8L730, 2.0688216, 1.0488092, 0.0138063, 0.5533201,TRUE,3.36097617220233E-05,3.59729597946464E-05,2.26764217666098E-05,2.62109607901309E-05,9.39718849309323E-06,1.79072819071199E-05,2.14368849768208E-05,8.52317865714649E-06
Q9LR44, 0.2108023,-2.2460373, 0.0188501, 0.5830555,TRUE,1.14254147496963E-06,5.30574628239622E-06,6.78173361244406E-06,2.78431451616775E-06,2.68726618311263E-05,9.93807268143827E-06,2.66910234515318E-05,1.24667389313486E-05
A0A1P8AUV9, 7.9834844, 2.9970185, 0.0045507, 0.4969267,TRUE,3.8084715832321E-07,2.12229851295849E-07,4.23858350777754E-07,4.80054226925474E-07,0,1.87510805310156E-07,0,0
Q9LND1, 0.3635048,-1.4599535, 0.0003301, 0.2782278,TRUE,9.52117895808025E-07,1.16726418212717E-06,7.41752113861069E-07,1.05611929923604E-06,2.47294434028769E-06,3.28143909292773E-06,2.73215200684972E-06,2.28980919147219E-06
Q58G55,0,-∞, 0.0271035, 0.5955494,TRUE,0,0,0,0,0,9.3755402655078E-08,1.0508276949422E-07,1.27211621748455E-07
Q9LMJ2, 2.0134635, 1.0096793, 0.0047679, 0.4984535,TRUE,1.80902400203525E-06,1.27337910777509E-06,1.69543340311101E-06,1.44016268077642E-06,1.15404069213426E-06,5.62532415930468E-07,7.35579386459539E-07,6.36058108742275E-07
F4HSD5, 0.3404917,-1.5543084, 0.0459324, 0.6197544,TRUE,5.23664842694414E-06,5.83632091063585E-06,3.70876056930534E-06,4.99256396002492E-06,5.77020346067128E-06,1.70634832832242E-05,2.35385403667052E-05,1.17034692008579E-05
Q9LQN6, 2.5981831, 1.3775031, 0.0027241, 0.4373545,TRUE,5.73174973276431E-05,6.00610479167252E-05,3.3590774299137E-05,5.43421384879636E-05,1.43430771736686E-05,2.09074547920824E-05,2.5324947448107E-05,1.8445685153526E-05
Q3EDG6, 0.3219546,-1.6350708, 0.0032453, 0.4511942,TRUE,8.56906106227222E-07,5.30574628239622E-07,9.53681289249946E-07,1.05611929923604E-06,2.80267025232605E-06,1.6875972477914E-06,2.6270692373555E-06,3.43471378720829E-06
AT1G04677,0,-∞, 0.031776, 0.6010255,TRUE,0,0,0,0,0,1.87510805310156E-07,2.1016553898844E-07,1.27211621748455E-07
O04027, ∞, ∞, 0.0453583, 0.6210168,TRUE,1.90423579161605E-07,1.06114925647924E-07,0,9.60108453850947E-08,0,0,0,0
O80518, 2.2242478, 1.1533175, 0.0165322, 0.5665919,TRUE,7.6169431664642E-06,7.85250449794641E-06,3.70876056930534E-06,6.91278086772682E-06,1.81349251621097E-06,3.8439715088582E-06,3.78297970179191E-06,2.28980919147219E-06
AT1G04743, 2.8511384, 1.5115381, 0.0038211, 0.4749407,TRUE,3.8084715832321E-07,4.24459702591698E-07,3.17893763083315E-07,5.76065072310568E-07,1.64862956019179E-07,9.3755402655078E-08,2.1016553898844E-07,1.27211621748455E-07
A0A178W1Y6, 0.1730617,-2.5306414, 0.0129676, 0.5525475,TRUE,0,0,0,1.92021690770189E-07,1.64862956019179E-07,3.75021610620312E-07,3.15248308482659E-07,2.5442324349691E-07
Q9SXB8, 0.4308958,-1.2145891, 0.0460131, 0.6192943,TRUE,4.85580126862093E-06,5.83632091063585E-06,6.3578752616663E-06,8.35294354850324E-06,2.12673213264742E-05,1.37820441902965E-05,6.09480063066475E-06,1.78096270447837E-05
F4I8W6, 2.0223067, 1.0160018, 0.0032793, 0.4467191,TRUE,6.28397811233296E-06,6.26078061322754E-06,7.84137948938844E-06,7.77687847619267E-06,2.14321842824933E-06,4.96903634071913E-06,3.88806247128613E-06,2.92586730021447E-06
AT1G04927,0,-∞, 0.001184, 0.3670819,TRUE,0,0,0,0,1.64862956019179E-07,1.87510805310156E-07,1.0508276949422E-07,2.5442324349691E-07
AT1G13448, 2.333454, 1.2224671, 0.0091203, 0.5233889,TRUE,7.6169431664642E-07,8.48919405183396E-07,1.05964587694438E-06,1.24814099000623E-06,1.64862956019179E-07,3.75021610620312E-07,6.30496616965319E-07,5.0884648699382E-07
A0A178WP44, 2.1274633, 1.0891342, 0.0100106, 0.5325574,TRUE,1.94232050744837E-05,2.15413299065287E-05,1.68483694434157E-05,1.75699847054723E-05,3.29725912038359E-06,8.90676325223241E-06,1.53420843461561E-05,7.88712054840421E-06
AT1G05043, 7.6697215, 2.9391742, 0.0339802, 0.6077677,TRUE,2.85635368742407E-07,3.18344776943773E-07,1.05964587694438E-07,9.60108453850947E-08,0,0,1.0508276949422E-07,0
Q8H0Z4, 0.1000086,-3.3218044, 0.0345545, 0.6087545,TRUE,2.28508294993926E-06,3.50179254638151E-06,9.53681289249946E-07,4.51250973309945E-06,1.53322549097837E-05,1.51883752301226E-05,2.74266028379914E-05,5.45737857300872E-05
AT1G05147, 0.1269289,-2.9779075, 0.0302622, 0.5984105,TRUE,9.52117895808025E-08,0,1.05964587694438E-07,0,3.29725912038359E-07,9.3755402655078E-08,5.25413847471099E-07,6.36058108742275E-07
Q8VYL8, ∞, ∞, 0.0135541, 0.5489202,TRUE,9.52117895808025E-08,1.06114925647924E-07,3.17893763083315E-07,1.92021690770189E-07,0,0,0,0
A0A178W6B2, 2.2132762, 1.1461835, 0.0030649, 0.4517347,TRUE,0.000247550652910086,0.000219976240868147,0.000338238963920647,0.000307426726923073,9.3642159018894E-05,0.00013828921891624,0.000167607017343281,0.000103423048481494
A0A178WJH0, 0.4937668,-1.0180982, 0.0110183, 0.5325922,TRUE,2.85635368742407E-07,2.12229851295849E-07,1.05964587694438E-07,1.92021690770189E-07,3.29725912038359E-07,3.75021610620312E-07,5.25413847471099E-07,3.81634865245365E-07
Q9M9E1, 0.3610607,-1.4696869, 0.013715, 0.5521193,TRUE,1.90423579161605E-07,3.18344776943773E-07,3.17893763083315E-07,9.60108453850947E-08,6.59451824076718E-07,3.75021610620312E-07,6.30496616965319E-07,8.90481352239185E-07
F4I177, 3.3388713, 1.7393605, 0.0046952, 0.4966221,TRUE,8.56906106227222E-07,6.36689553887547E-07,9.53681289249946E-07,4.80054226925474E-07,3.29725912038359E-07,1.87510805310156E-07,1.0508276949422E-07,2.5442324349691E-07
Q9S9M1, 2.379027, 1.2503717, 0.0293055, 0.5965501,TRUE,5.71270737484815E-06,5.94243583628377E-06,3.07297304313871E-06,2.97633620693794E-06,9.89177736115077E-07,2.53139587168711E-06,2.52198646786128E-06,1.39932783923301E-06
Q39224, 0.4256366,-1.232306, 0.0008786, 0.4157502,TRUE,5.33186021652494E-06,5.1996313567483E-06,4.02665433238866E-06,6.52873748618644E-06,9.72691440513159E-06,1.200069153985E-05,1.47115877291908E-05,1.31027970400909E-05
Q9SHH7, 0.2772811,-1.8505788, 0.0032788, 0.4489171,TRUE,8.37863748311062E-06,1.03992627134966E-05,5.93401691088855E-06,8.35294354850324E-06,2.12673213264742E-05,3.03767504602453E-05,4.20331077976879E-05,2.55695359714395E-05
Q9LMS3, 2.0946214, 1.0666895, 0.0297631, 0.5972986,TRUE,6.65530409169809E-05,6.92930464480947E-05,3.93128620346366E-05,4.80054226925474E-05,9.72691440513159E-06,4.31274852213359E-05,3.32061551601735E-05,2.04810711015013E-05
A0A1P8AS82, 2.3023538, 1.2031095, 0.0262171, 0.5942259,TRUE,3.8084715832321E-07,3.18344776943773E-07,2.11929175388877E-07,3.84043381540379E-07,1.64862956019179E-07,1.87510805310156E-07,2.1016553898844E-07,0
Q2Q493, 2.5409784, 1.3453841, 0.049471, 0.620908,TRUE,7.6169431664642E-07,1.69783881036679E-06,1.16561046463882E-06,2.01622775308699E-06,1.64862956019179E-07,7.50043221240624E-07,1.0508276949422E-06,2.5442324349691E-07
Q9M9V6, 0.2259814,-2.145724, 0.0297777, 0.5971489,TRUE,2.76114189784327E-06,2.44064328990226E-06,2.01332716619433E-06,3.07234705232303E-06,1.02215032731891E-05,1.97823899602215E-05,4.83380739673411E-06,1.06857762268702E-05
P92995, 0.4292629,-1.2200666, 0.0400734, 0.6110006,TRUE,3.7132597936513E-06,5.41186120804415E-06,3.81472515699978E-06,4.60852057848455E-06,9.89177736115077E-06,7.87545382302655E-06,1.64979948105925E-05,6.61500433091966E-06
Q9LNS5, 0.3301603,-1.5987614, 0.0206129, 0.5914599,TRUE,3.33241263532809E-06,6.36689553887547E-06,4.02665433238866E-06,1.09452363739008E-05,1.53322549097837E-05,1.43445766062269E-05,2.95282582278758E-05,1.55198178533115E-05
AT1G05533, ∞, ∞, 0.0041182, 0.4992173,TRUE,9.52117895808025E-08,1.06114925647924E-07,2.11929175388877E-07,9.60108453850947E-08,0,0,0,0
Q9LMV9, 2.5925571, 1.3743757, 0.0256164, 0.5930691,TRUE,2.85635368742407E-07,4.24459702591698E-07,5.29822938472192E-07,4.80054226925474E-07,0,9.3755402655078E-08,3.15248308482659E-07,2.5442324349691E-07
AT1G20691, 2.7524994, 1.4607422, 0.0248907, 0.5925429,TRUE,4.37974232071691E-06,1.91006866166264E-06,2.96700845544428E-06,4.12846635155907E-06,1.31890364815344E-06,2.34388506637695E-06,9.45744925447978E-07,2.5442324349691E-07
Q9LM69, 2.0129626, 1.0093204, 0.0030075, 0.4506603,TRUE,3.06581962450184E-05,2.76959955941083E-05,2.61732531605263E-05,1.89141365408637E-05,1.56619808218221E-05,1.27507347610906E-05,1.0508276949422E-05,1.24667389313486E-05
Q0V805, 2.0221732, 1.0159066, 0.0054788, 0.5043472,TRUE,2.08513819181957E-05,1.48560895907094E-05,2.40539614066375E-05,2.21785052839569E-05,7.2539700648439E-06,1.38757995929515E-05,1.06133597189162E-05,8.7776019006434E-06
Q9LMN6, 2.7963563, 1.4835482, 0.0141537, 0.5500772,TRUE,3.61804800407049E-06,3.71402239767736E-06,2.01332716619433E-06,2.20824944385718E-06,3.29725912038359E-07,1.12506483186094E-06,1.78640708140174E-06,8.90481352239185E-07
F4I1A6, 2.7750384, 1.4725077, 0.0322736, 0.6040836,TRUE,4.76058947904012E-07,4.24459702591698E-07,2.11929175388877E-07,4.80054226925474E-07,1.64862956019179E-07,9.3755402655078E-08,3.15248308482659E-07,0
F4I680, 4.0025086, 2.0009045, 0.0189289, 0.5821556,TRUE,2.85635368742407E-07,2.12229851295849E-07,1.05964587694438E-07,1.92021690770189E-07,0,9.3755402655078E-08,1.0508276949422E-07,0
B9DGT3, 0.498773,-1.0035447, 0.0286258, 0.5934635,TRUE,2.07561701286149E-05,2.27085940886558E-05,1.72722277941935E-05,2.64989933262861E-05,4.6821079509447E-05,3.39394557611382E-05,3.07892514618064E-05,6.33513876307306E-05
A0A178W6L4, 0.4565813,-1.1310564, 0.0390554, 0.6096076,TRUE,9.04512001017624E-06,1.46438597394136E-05,6.67576902474962E-06,9.69709538389456E-06,2.67077988751071E-05,1.26569793584355E-05,1.73386569665463E-05,3.1039635706623E-05
Q9C673, 2.4764039, 1.3082466, 0.0267474, 0.5962234,TRUE,9.52117895808025E-07,4.24459702591698E-07,7.41752113861069E-07,4.80054226925474E-07,1.64862956019179E-07,1.87510805310156E-07,3.15248308482659E-07,3.81634865245365E-07
