ID,Cluster,#1,#2,#3,#4,#5,#6,#7,#8,#9
A0A1P8AXQ6,4,0.301313815121301,0.292560170661156,0.0258269443577453,0.0259259442079036,0.0258462294508635,0.0256541598319014,0.165940302109152,0.0258537422074414,0.111078692052537
AT2G15128,4,0.303199789913817,0.297225786416069,0.0263434103944594,0.0255979784751221,0.0260011417239729,0.0282496722625942,0.162660773557145,0.0259450705222576,0.104776376734563
Q9SJP7,4,0.226717623070856,0.225211418606972,0.0411237068004762,0.039982733211554,0.040636541454182,0.0427852741822279,0.191994348056266,0.0405498669147079,0.150998487702759
Q7Y232,4,0.250171121826813,0.245704709242133,0.0385622409265614,0.0389408541261286,0.0387160715773959,0.0371560159229025,0.178698524157231,0.0387447610930145,0.133305701127819
A0A1P8B2C0,4,0.26478345038118,0.260848606389944,0.0293609208748754,0.029264590144587,0.0293171050358147,0.0291559769508471,0.189068178373063,0.0293099832084178,0.13889118864127
Q03250,4,0.291885169822555,0.286706339747899,0.0283684795778683,0.0276236075687012,0.0280114371977501,0.0306408019680921,0.167534431836222,0.0279553319955537,0.111274400285358
AT2G07495,4,0.247945032010755,0.245265572570678,0.0364345461261508,0.0372237154187546,0.0367213476163131,0.0354207672156756,0.183342132201476,0.0367816695927069,0.140865217247489
Q9SK52,4,0.304876895707114,0.298120907717399,0.0233408266431638,0.022761320557338,0.0230891466342574,0.0241836090611652,0.169685567074687,0.0230449932740664,0.11089673333081
O48719,4,0.309702041450793,0.298756950442855,0.0288319413978624,0.028494308856437,0.0286851987794353,0.0290111826724037,0.151063144641708,0.0286598109291611,0.096795420829344
Q9SID2,4,0.310968599233992,0.301980840213873,0.0269970527150403,0.0264358975557721,0.0267251023576214,0.0286141053676658,0.153823918487389,0.0266829092316605,0.0977715748369855
Q9SKB7,4,0.264685198972752,0.262935421748844,0.0298467719888386,0.0291410972161836,0.0295021993929916,0.032084224249429,0.187431303103419,0.0294488103999598,0.134924972927583
O49323,4,0.220763794627078,0.220347044215017,0.0447268072633842,0.0434911007418014,0.0441742840998298,0.0476086657560564,0.184505167557334,0.0440812614237503,0.150301874315749
AT2G08580,4,0.24384074088284,0.240845112589661,0.0384493551516839,0.0380030695970624,0.0382862594196647,0.0379348882811118,0.18259382859274,0.038252112590715,0.141794632894521
