,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I561,I562,I563,I564
AT2G08340, 0.4465353,-1.163154, 0.0195964, 0.8207379,TRUE,8.56906106227222E-07,3.18344776943773E-07,2.11929175388877E-07,2.88032536155284E-07,8.12269089948152E-07,8.46385857155647E-07,1.13137391313858E-06,9.61550758293351E-07
Q9ZW27, 0.4612186,-1.1164776, 0.0133434, 0.7789986,TRUE,1.52338863329284E-06,1.91006866166264E-06,2.22525634158321E-06,1.8242060623168E-06,5.14437090300496E-06,5.07831514293388E-06,2.82843478284645E-06,3.17311750236806E-06
A0A1P8AZU2, 0.1698803,-2.5574091, 0.0196992, 0.8186851,TRUE,0,0,0,9.60108453850947E-08,9.02521211053502E-08,9.40428730172941E-08,1.8856231885643E-07,1.9231015165867E-07
Q8S8N1, 0.3636092,-1.4595392, 0.0259456, 0.8411106,TRUE,2.85635368742407E-07,4.24459702591698E-07,1.05964587694438E-07,5.76065072310568E-07,1.0830254532642E-06,6.58300111121059E-07,1.41421739142322E-06,6.73085530805346E-07
Q9SKB7, 0.436599,-1.1956191, 0.009191, 0.7291151,TRUE,1.04732968538883E-06,6.36689553887547E-07,9.53681289249946E-07,4.80054226925474E-07,1.17327757436955E-06,2.25702895241506E-06,1.97990434799251E-06,1.73079136492803E-06
Q6DSS2,0,-∞, 0.0240266, 0.8600486,TRUE,0,0,0,0,0,9.40428730172941E-08,9.42811594282149E-08,9.61550758293351E-08
O48843, 2.114535, 1.0803405, 0.0355443, 0.876326,TRUE,7.6169431664642E-07,9.5503433083132E-07,1.16561046463882E-06,1.44016268077642E-06,9.02521211053502E-07,3.76171492069176E-07,1.8856231885643E-07,5.76930454976011E-07
O22778, 2.327609, 1.2188487, 0.0498708, 0.9181673,TRUE,1.52338863329284E-06,9.5503433083132E-07,2.01332716619433E-06,7.68086763080758E-07,2.70756363316051E-07,8.46385857155647E-07,5.6568695656929E-07,5.76930454976011E-07
AT2G08635, 2.4517611, 1.2938184, 0.0235789, 0.8629166,TRUE,5.71270737484815E-07,5.30574628239622E-07,4.23858350777754E-07,2.88032536155284E-07,3.61008484421401E-07,9.40428730172941E-08,1.8856231885643E-07,9.61550758293351E-08
AT2G08660, 2.0208517, 1.0149635, 0.023904, 0.8607978,TRUE,7.6169431664642E-07,8.48919405183396E-07,7.41752113861069E-07,6.72075917695663E-07,2.70756363316051E-07,6.58300111121059E-07,4.71405797141075E-07,9.61550758293351E-08
Q9ZQP6, 5.4620555, 2.449444, 0.002139, 0.5494561,TRUE,2.85635368742407E-07,3.18344776943773E-07,2.11929175388877E-07,1.92021690770189E-07,9.02521211053502E-08,0,9.42811594282149E-08,0
Q0PGJ6, 0.1769821,-2.4983249, 0.0051385, 0.6506893,TRUE,0,3.18344776943773E-07,2.11929175388877E-07,9.60108453850947E-08,1.17327757436955E-06,1.12851447620753E-06,6.59968115997505E-07,5.76930454976011E-07
AT2G08985, ∞, ∞, 0.0244713, 0.8349644,TRUE,9.52117895808025E-08,1.06114925647924E-07,1.05964587694438E-07,0,0,0,0,0
Q1PEV9, 0.3232573,-1.6292453, 0.0136018, 0.7872693,TRUE,9.52117895808025E-08,0,1.05964587694438E-07,1.92021690770189E-07,2.70756363316051E-07,3.76171492069176E-07,3.7712463771286E-07,1.9231015165867E-07
Q9SHC2, 0.4356377,-1.1987993, 0.0332022, 0.8745408,TRUE,1.90423579161605E-07,2.12229851295849E-07,6.3578752616663E-07,3.84043381540379E-07,1.0830254532642E-06,4.70214365086471E-07,9.42811594282149E-07,7.69240606634681E-07
Q93WU8, 0.2621156,-1.9317249, 0.0181276, 0.8108432,TRUE,2.18987116035846E-06,2.12229851295849E-06,7.41752113861069E-07,1.15213014462114E-06,5.77613575074241E-06,3.10341480957071E-06,5.37402608740825E-06,9.42319743127484E-06
Q9ZVB5, 3.1141317, 1.63883, 0.0389458, 0.8924786,TRUE,4.28453053113611E-06,7.74638957229849E-06,2.43718551697208E-06,4.22447719694417E-06,1.53428605879095E-06,1.88085746034588E-07,2.35702898570537E-06,1.9231015165867E-06
Q9S728, 2.6679676, 1.4157412, 0.0054609, 0.64886,TRUE,9.90202611640346E-05,8.48919405183396E-05,0.000142098512098242,8.23773053404113E-05,3.7364378137615E-05,5.06891085563215E-05,4.27093652209814E-05,2.23079775924058E-05
AT2G09455, 9.5956761, 3.2623845, 0.0129294, 0.7664431,TRUE,1.90423579161605E-07,3.18344776943773E-07,3.17893763083315E-07,9.60108453850947E-08,0,0,0,9.61550758293351E-08
O64857, ∞, ∞, 0, 0.0002567,TRUE,9.52117895808025E-08,1.06114925647924E-07,1.05964587694438E-07,9.60108453850947E-08,0,0,0,0
