fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q9XEB6,Q41975,1,,False,,1123
Q9M0Z9,Q41975,1,,False,,1124
Q9ZPH4,Q03250,1,,False,,1125
Q9ZPH4,Q41975,1,,False,,1126
Q9S9T4,Q03250,1,,False,,1127
AT4G05065,Q41975,1,,False,,1128
A0A178UXQ0,Q41975,1,,False,,1129
Q39072,Q41975,1,,False,,113
Q9SUF1,Q41975,1,,False,,1130
Q9LDN9,Q41975,1,,False,,1131
Q9M0S8,Q41975,1,,False,,1132
Q9SN28,A0A178VRB0,1,,False,,1133
Q84TI7,Q41975,1,,False,,1134
Q9ZSA8,Q41975,1,,False,,1135
Q9SZY2,Q41975,1,,False,,1136
Q9T017,Q41975,1,,False,,1137
Q9LDS6,Q03250,1,,False,,1138
P50700,Q03250,1,,False,,1139
Q4PT07,Q03250,1,,False,,114
F4JP36,Q41975,1,,False,,1140
Q38838,Q41975,1,,False,,1141
AT4G05945,Q03250,1,,False,,1142
Q9STH8,Q41975,1,,False,,1143
Q9STH1,Q41975,1,,False,,1144
Q39176,Q41975,1,,False,,1145
Q9SU34,Q03250,1,,False,,1146
Q9SU33,Q41975,1,,False,,1147
A0A178V1C5_1,Q41975,1,,False,,1148
Q9SU32,Q41975,1,,False,,1149
Q9C6F2,Q41975,1,,False,,115
Q0V809,Q03250,1,,False,,1150
Q0V809,Q41975,1,,False,,1151
Q1PE89,Q41975,1,,False,,1152
Q9SVQ1,A0A178VRB0,1,,False,,1153
Q9T0J9,Q03250,1,,False,,1154
Q9T0K2,Q41975,1,,False,,1155
O23267,Q03250,1,,False,,1156
P0DKI5,A0A178VRB0,1,,False,,1157
P0DKI5,Q41975,1,,False,,1158
AT4G14548,Q41975,1,,False,,1159
Q8LCE4,Q03250,1,,False,,116
Q94K66,Q03250,1,,False,,1160
O23384,Q41975,1,,False,,1161
Q0WQ07,Q41975,1,,False,,1162
O23391,Q41975,1,,False,,1163
O23401,Q41975,1,,False,,1164
F4JK75,Q03250,1,,False,,1165
AT4G06340,Q03250,1,,False,,1166
Q8LF65,Q41975,1,,False,,1167
Q8VZJ2,Q41975,1,,False,,1168
Q41975,Q9LMM5,1,,False,,1169
Q9C7I9,Q03250,1,,False,,117
Q41975,Q9LMM0,1,,False,,1170
Q41975,Q84VV7,1,,False,,1171
Q41975,A0A178WAU2,1,,False,,1172
Q41975,Q43383,1,,False,,1173
Q41975,AT1G04223,1,,False,,1174
Q41975,Q5XEP9,1,,False,,1175
Q41975,P93824,1,,False,,1176
Q41975,AT1G04425,1,,False,,1177
Q41975,AT1G04273,1,,False,,1178
Q41975,Q9LR44,1,,False,,1179
Q9C7I3,Q41975,1,,False,,118
Q41975,Q9LNE7,1,,False,,1180
Q41975,Q9LNE3,1,,False,,1181
Q41975,Q9LNW0,1,,False,,1182
Q41975,Q9LQN6,1,,False,,1183
Q41975,Q9SGD1,1,,False,,1184
Q41975,Q9FRR8,1,,False,,1185
Q41975,Q9XFR5,1,,False,,1186
Q41975,O80518,1,,False,,1187
Q41975,Q9FUS8,1,,False,,1188
Q41975,Q8LC45,1,,False,,1189
F4I389,Q41975,1,,False,,119
Q41975,O04090,1,,False,,1190
Q41975,O04089,1,,False,,1191
Q41975,F4I8W6,1,,False,,1192
Q41975,F4IAL1,1,,False,,1193
