	class	0.1_0	0.05_0	0.07_0	1_0	0.5_0	0.7_0	0.2_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13413	-	0.000	0.000	0.000	-0.120	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	-0.043
PF01814	-	0.000	0.000	0.000	-0.068	-0.075	-0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hemerythrin HHE cation binding domain	-0.055
PF04138	-	0.000	0.000	0.000	-0.116	-0.091	-0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GtrA-like protein	-0.055
PF14559	-	0.000	0.000	0.000	-0.170	-0.067	-0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.057
PF02655	-	0.000	0.000	0.000	-0.294	-0.195	-0.228	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	ATP-grasp domain	-0.068
PF08485	-	0.000	0.000	0.000	-0.156	-0.068	-0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide biosynthesis protein C-terminal	-0.130
PF05219	-	0.000	0.000	0.000	-0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DREV methyltransferase	-0.155
PF04011	-	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LemA family	-0.180
PF07751	-	0.000	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Abi-like protein	-0.183
PF02677	-	0.000	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, COG1636	-0.193
PF00675	-	0.000	0.000	0.000	-0.021	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Insulinase (Peptidase family M16)	-0.197
PF05958	-	-0.184	0.000	-0.052	0.000	-0.185	-0.127	-0.226	0.000	0.000	0.000	0.000	0.000	0.000	tRNA (Uracil-5-)-methyltransferase	-0.279
PF05193	-	0.000	0.000	0.000	0.000	-0.052	-0.005	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M16 inactive domain	-0.281
