	class	0.1_0	0.05_0	0.07_0	1_0	0.5_0	0.7_0	0.2_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF09347	+	0.278	0.113	0.221	0.289	0.364	0.330	0.325	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1989)	0.568
PF10005	+	0.000	0.000	0.000	0.084	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2248)	0.540
PF12098	+	0.000	0.000	0.000	0.261	0.056	0.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3574)	0.540
PF06475	+	0.000	0.000	0.000	0.000	0.203	0.204	0.080	0.000	0.000	0.000	0.000	0.000	0.000	Putative glycolipid-binding	0.530
PF09349	+	0.153	0.238	0.202	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	OHCU decarboxylase	0.526
PF01958	+	0.000	0.000	0.000	0.033	0.049	0.054	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF108	0.523
PF06267	+	0.393	0.180	0.361	0.245	0.345	0.286	0.449	0.000	0.000	0.000	0.000	0.000	0.000	Family of unknown function (DUF1028)	0.501
PF04982	+	0.000	0.000	0.000	0.381	0.421	0.431	0.266	0.000	0.000	0.000	0.000	0.000	0.000	HPP family	0.494
PF10081	+	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha/beta-hydrolase family	0.483
PF02909	+	0.267	0.152	0.223	0.227	0.172	0.183	0.197	0.000	0.000	0.000	0.000	0.000	0.000	Tetracyclin repressor, C-terminal all-alpha domain	0.462
PF04250	+	0.000	0.000	0.000	0.000	0.016	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF429)	0.438
PF05063	+	0.234	0.000	0.006	0.625	0.603	0.620	0.547	0.000	0.000	0.000	0.000	0.000	0.000	MT-A70	0.438
PF01011	+	0.102	0.006	0.118	0.116	0.047	0.083	0.056	0.000	0.000	0.000	0.000	0.000	0.000	PQQ enzyme repeat	0.420
PF11373	+	0.000	0.000	0.000	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3175)	0.389
PF13444	+	0.194	0.000	0.047	0.250	0.187	0.204	0.159	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.354
PF11755	+	0.000	0.000	0.000	0.185	0.108	0.171	0.038	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3311)	0.344
PF07366	+	0.000	0.000	0.000	0.147	0.125	0.114	0.049	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like polyketide cyclase	0.343
PF09821	+	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal AAA-associated domain	0.340
PF05090	+	0.000	0.000	0.000	1.080	0.967	1.063	0.620	0.000	0.000	0.000	0.000	0.000	0.000	Vitamin K-dependent gamma-carboxylase	0.337
PF14226	+	0.000	0.000	0.000	0.087	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	non-haem dioxygenase in morphine synthesis N-terminal	0.335
PF08643	+	0.042	0.000	0.006	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.000	0.000	Fungal family of unknown function (DUF1776)	0.330
PF08818	+	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DU1801)	0.322
PF00295	+	0.000	0.000	0.000	0.209	0.211	0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 28	0.321
PF04268	+	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sarcosine oxidase, gamma subunit family	0.293
PF01341	+	0.000	0.000	0.000	0.603	0.540	0.545	0.273	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 6	0.279
PF12680	-	0.000	0.000	0.000	-0.023	-0.026	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.269
PF01361	+	0.034	0.000	0.000	0.056	0.000	0.028	0.083	0.000	0.000	0.000	0.000	0.000	0.000	Tautomerase enzyme	0.236
PF04473	+	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglutaminase-like domain	0.184
PF07978	-	0.000	0.000	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NIPSNAP	0.124
PF01643	+	0.000	0.000	0.000	0.000	0.069	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-ACP thioesterase	0.120
PF05598	+	0.000	0.000	0.000	0.139	0.120	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase domain (DUF772)	0.114
PF06559	+	0.000	0.000	0.000	0.256	0.264	0.271	0.077	0.000	0.000	0.000	0.000	0.000	0.000	2'-deoxycytidine 5'-triphosphate deaminase (DCD)	0.090
PF12019	-	0.000	0.000	0.000	-0.085	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type II transport protein GspH	0.088
PF03799	-	0.000	0.000	0.000	-0.037	0.000	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cell division protein FtsQ	0.076
PF08437	+	0.000	0.000	0.000	0.147	0.059	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family 8 C-terminal	0.016
PF01972	-	0.000	0.000	0.000	0.000	-0.005	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine dehydrogenase proteinase	0.001
PF13424	-	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.034
