	class	0.5_0	0.7_0	1_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.005_0	0.007_0	0.001_0	0.002_0	Pfam_desc	cor
PF04203	+	0.537	0.588	0.581	0.556	0.492	0.474	0.471	0.398	0.237	0.000	0.095	0.000	0.000	Sortase family	0.938
PF03816	+	0.211	0.255	0.250	0.181	0.270	0.325	0.357	0.338	0.223	0.000	0.108	0.000	0.000	Cell envelope-related transcriptional attenuator domain	0.907
PF04472	+	0.249	0.216	0.230	0.361	0.360	0.294	0.255	0.177	0.066	0.000	0.000	0.000	0.000	Protein of unknown function (DUF552)	0.904
PF05103	+	0.000	0.000	0.000	0.090	0.140	0.125	0.108	0.031	0.000	0.000	0.000	0.000	0.000	DivIVA protein	0.884
PF14527	+	0.088	0.061	0.085	0.109	0.190	0.239	0.270	0.227	0.212	0.179	0.264	0.000	0.000	WhiA LAGLIDADG-like domain	0.876
PF02650	+	0.152	0.191	0.163	0.146	0.240	0.290	0.311	0.388	0.356	0.200	0.230	0.000	0.000	WhiA C-terminal HTH domain	0.876
PF08353	+	0.368	0.364	0.392	0.363	0.274	0.155	0.088	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1727)	0.815
PF02645	+	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein, DegV family COG1307	0.772
PF06257	+	0.445	0.405	0.422	0.362	0.160	0.073	0.007	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1021)	0.729
PF12051	+	0.000	0.000	0.000	0.028	0.070	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3533)	0.691
PF14480	+	0.138	0.169	0.111	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase III polC-type N-terminus I	0.683
PF11490	+	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase III polC-type N-terminus II	0.675
PF11838	+	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ERAP1-like C-terminal domain	0.639
PF01183	+	0.000	0.009	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 25	0.594
PF07739	+	0.054	0.087	0.097	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TipAS antibiotic-recognition domain	0.542
PF06737	+	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglycosylase-like domain	0.529
