	class	0.7_0	1_0	0.5_0	0.2_0	0.07_0	0.1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13265	+	0.207	0.162	0.287	0.321	0.000	0.213	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4056)	0.514
PF06006	+	0.404	0.404	0.336	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF905)	0.493
PF14557	+	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative AphA-like transcriptional regulator	0.404
PF13737	+	0.115	0.000	0.149	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	0.404
PF07361	+	0.073	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome b562	0.393
PF05935	+	0.219	0.184	0.267	0.276	0.282	0.289	0.133	0.000	0.000	0.000	0.000	0.000	0.000	Arylsulfotransferase (ASST)	0.380
PF01894	+	0.000	0.048	0.000	0.024	0.209	0.133	0.170	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family UPF0047	0.377
PF06296	+	0.335	0.340	0.339	0.399	0.364	0.385	0.250	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1044)	0.363
PF07449	+	0.410	0.366	0.463	0.345	0.004	0.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydrogenase-1 expression protein HyaE	0.359
PF14367	+	0.000	0.000	0.000	0.175	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4411)	0.359
PF13402	+	0.415	0.546	0.355	0.274	0.040	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M60-like family	0.356
PF06205	+	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase 36 associated family	0.356
PF06165	+	0.301	0.117	0.292	0.331	0.182	0.279	0.069	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase family 36	0.356
PF04655	+	0.194	0.218	0.145	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aminoglycoside/hydroxyurea antibiotic resistance kinase	0.344
PF10137	+	0.180	0.205	0.153	0.191	0.177	0.228	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted nucleotide-binding protein containing TIR-like domain	0.344
PF01483	+	0.052	0.040	0.149	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Proprotein convertase P-domain	0.344
PF02001	+	0.181	0.322	0.172	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function  DUF134	0.342
PF12158	+	0.161	0.151	0.159	0.114	0.001	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3592)	0.331
