	class	0.1_0	0.07_0	0.05_0	1_0	0.7_0	0.2_0	0.5_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF10425	+	0.226	0.100	0.000	0.565	0.513	0.417	0.453	0.000	0.000	0.000	0.000	0.000	0.000	C-terminus of bacterial fibrinogen-binding adhesin	0.559
PF13038	+	0.000	0.000	0.000	0.113	0.105	0.133	0.107	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3899)	0.493
PF06737	+	0.870	0.750	0.586	0.842	0.858	1.015	0.882	0.000	0.000	0.000	0.000	0.000	0.013	Transglycosylase-like domain	0.472
PF04306	+	0.398	0.327	0.201	0.358	0.363	0.327	0.366	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF456)	0.457
PF15432	+	0.000	0.000	0.000	0.156	0.157	0.047	0.155	0.000	0.000	0.000	0.000	0.000	0.000	Accessory Sec secretory system ASP3	0.455
PF05495	+	0.000	0.000	0.000	0.010	0.014	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	CHY zinc finger	0.429
PF01910	+	0.000	0.000	0.000	0.132	0.126	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF77	0.359
PF09685	+	0.000	0.000	0.000	0.080	0.063	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	Tic20-like protein	0.346
PF06335	+	0.000	0.000	0.000	0.009	0.013	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1054)	0.312
PF14145	+	0.000	0.000	0.000	0.121	0.117	0.039	0.114	0.000	0.000	0.000	0.000	0.000	0.000	YrhK-like protein	0.279
PF11192	+	0.000	0.000	0.000	0.207	0.215	0.000	0.246	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2977)	0.267
PF09524	+	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Conserved phage C-terminus (Phg_2220_C)	0.236
PF09557	+	0.000	0.000	0.000	0.247	0.289	0.267	0.331	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF2382)	0.210
PF07274	+	0.000	0.000	0.000	0.159	0.150	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1440)	0.206
PF06769	+	0.000	0.000	0.000	0.011	0.019	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid encoded toxin Txe	0.202
PF04389	+	0.000	0.000	0.000	0.093	0.072	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family M28	0.200
PF13370	-	0.000	0.000	0.000	-0.066	-0.067	0.000	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S single cluster domain	0.156
PF06486	+	0.000	0.000	0.000	0.067	0.051	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1093)	0.147
PF02770	+	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-CoA dehydrogenase, middle domain	0.144
PF01721	+	0.000	0.000	0.000	0.106	0.087	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	Class II bacteriocin	0.144
PF02578	+	0.000	0.000	0.000	0.090	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multi-copper polyphenol oxidoreductase laccase	0.093
PF01663	+	0.000	0.000	0.000	0.065	0.072	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	Type I phosphodiesterase / nucleotide pyrophosphatase	0.079
PF05569	-	0.000	0.000	0.000	-0.141	-0.123	0.000	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	BlaR1 peptidase M56	0.075
PF13087	+	0.000	0.000	0.000	0.066	0.064	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.058
PF02604	+	0.000	0.000	0.000	0.029	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antitoxin Phd_YefM, type II toxin-antitoxin system	0.054
PF07670	+	0.000	0.000	0.000	0.013	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside recognition	0.049
PF05223	-	0.000	0.000	0.000	-0.185	-0.169	0.000	-0.147	0.000	0.000	0.000	0.000	0.000	0.000	NTF2-like N-terminal transpeptidase domain	0.040
PF10397	-	0.000	0.000	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylosuccinate lyase C-terminus	0.034
PF01864	+	0.000	0.000	0.000	0.072	0.056	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	Putative integral membrane protein DUF46	0.029
PF00585	-	0.000	0.000	0.000	-0.040	-0.044	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal regulatory domain of Threonine dehydratase	0.023
