	class	0.1_0	0.07_0	0.2_0	0.05_0	0.5_0	0.7_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF00176	-	0.000	0.000	-0.035	0.000	-0.074	-0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SNF2 family N-terminal domain	-0.098
PF05656	-	0.000	0.000	0.000	0.000	-0.003	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF805)	-0.106
PF03706	-	0.000	0.000	-0.048	0.000	-0.102	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0104)	-0.110
PF03895	-	0.000	0.000	0.000	0.000	-0.012	-0.029	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	YadA-like C-terminal region	-0.118
PF10076	-	0.000	0.000	0.000	0.000	-0.087	-0.098	-0.161	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2313)	-0.119
PF04247	-	0.000	0.000	0.000	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Invasion gene expression up-regulator, SirB	-0.142
PF07317	-	0.000	0.000	0.000	0.000	-0.010	-0.038	-0.113	0.000	0.000	0.000	0.000	0.000	0.000	Flagellar regulator YcgR	-0.155
PF05971	-	0.000	0.000	-0.024	0.000	-0.138	-0.152	-0.176	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF890)	-0.161
PF13014	-	0.000	0.000	-0.040	0.000	-0.106	-0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KH domain	-0.162
PF01741	-	0.000	0.000	0.000	0.000	-0.047	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Large-conductance mechanosensitive channel, MscL	-0.162
PF05239	-	0.000	0.000	-0.011	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PRC-barrel domain	-0.171
PF01593	-	-0.083	0.000	-0.078	0.000	-0.117	-0.117	-0.199	0.000	0.000	0.000	0.000	0.000	0.000	Flavin containing amine oxidoreductase	-0.175
PF01557	-	0.000	0.000	0.000	0.000	-0.050	-0.038	-0.166	0.000	0.000	0.000	0.000	0.000	0.000	Fumarylacetoacetate (FAA) hydrolase family	-0.180
PF05768	-	0.000	0.000	0.000	0.000	-0.055	-0.078	-0.146	0.000	0.000	0.000	0.000	0.000	0.000	Glutaredoxin-like domain (DUF836)	-0.193
PF01183	-	0.000	0.000	0.000	0.000	-0.003	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 25	-0.209
PF00471	-	0.000	0.000	0.000	0.000	-0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein L33	-0.237
PF07155	-	0.000	0.000	0.000	0.000	-0.019	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ECF-type riboflavin transporter, S component	-0.241
PF00367	-	0.000	0.000	0.000	0.000	-0.111	-0.118	-0.129	0.000	0.000	0.000	0.000	0.000	0.000	phosphotransferase system, EIIB	-0.250
PF11967	-	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Recombination protein O N terminal	-0.267
PF00358	-	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	-0.275
PF00444	-	0.000	0.000	-0.043	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein L36	-0.280
PF03483	-	0.000	0.000	-0.213	0.000	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	B3/4 domain	-0.293
