	class	0.7_0	1_0	0.5_0	0.2_0	0.1_0	0.07_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF10022	+	0.377	0.387	0.429	0.285	0.257	0.154	0.028	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2264)	0.507
PF04131	+	0.000	0.000	0.000	0.000	0.017	0.053	0.059	0.000	0.000	0.000	0.000	0.000	0.000	Putative N-acetylmannosamine-6-phosphate epimerase	0.505
PF04492	+	0.021	0.000	0.000	0.119	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage replication protein O	0.490
PF02030	+	0.150	0.255	0.000	0.172	0.223	0.260	0.240	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.490
PF07450	+	0.417	0.444	0.404	0.384	0.280	0.290	0.253	0.000	0.000	0.000	0.000	0.000	0.000	Formate hydrogenlyase maturation protein HycH	0.468
PF13729	+	0.617	0.611	0.598	0.514	0.249	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	F plasmid transfer operon, TraF, protein	0.455
PF03709	+	0.962	0.939	0.899	0.903	0.577	0.446	0.271	0.000	0.000	0.000	0.000	0.000	0.074	Orn/Lys/Arg decarboxylase, N-terminal domain	0.447
PF02288	+	0.186	0.311	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dehydratase medium subunit	0.384
PF02287	+	0.143	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dehydratase small subunit	0.384
PF02286	+	0.000	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dehydratase large subunit	0.384
PF12568	-	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.369
