	class	0.1_0	0.2_0	0.07_0	0.5_0	0.7_0	1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13362	-	-0.008	-0.016	0.000	-0.038	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Toprim domain	-0.153
PF13586	-	0.000	-0.034	0.000	-0.082	-0.092	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.153
PF09924	-	0.000	0.000	0.000	-0.085	-0.073	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2156)	-0.157
PF01613	-	-0.205	-0.305	-0.140	-0.415	-0.398	-0.428	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	Flavin reductase like domain	-0.163
PF13591	-	0.000	-0.020	0.000	-0.119	-0.141	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MerR HTH family regulatory protein	-0.192
PF00202	-	0.000	-0.031	0.000	-0.040	0.000	-0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aminotransferase class-III	-0.224
PF05437	-	0.000	-0.119	0.000	-0.192	-0.240	-0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Branched-chain amino acid transport protein (AzlD)	-0.247
PF01988	-	0.000	-0.049	0.000	-0.119	-0.110	-0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	VIT family	-0.270
PF12738	-	-0.052	-0.187	0.000	-0.257	-0.309	-0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	twin BRCT domain	-0.276
PF02541	-	-0.049	0.000	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ppx/GppA phosphatase family	-0.431
