	class	0.5_0	0.7_0	1_0	0.05_0	0.07_0	0.1_0	0.2_0	0.02_0	0.01_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF06945	+	0.275	0.295	0.306	0.334	0.318	0.295	0.252	0.274	0.134	0.014	0.000	0.000	0.000	Protein of unknown function (DUF1289)	0.915
PF11808	+	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3329)	0.914
PF03922	+	0.000	0.000	0.000	0.076	0.116	0.099	0.042	0.000	0.000	0.000	0.000	0.000	0.000	OmpW family	0.892
PF07869	+	0.706	0.707	0.708	0.393	0.440	0.510	0.614	0.298	0.016	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1656)	0.890
PF05947	+	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF879)	0.864
PF13116	+	0.417	0.420	0.430	0.596	0.557	0.486	0.407	0.502	0.276	0.203	0.000	0.000	0.019	Protein of unknown function	0.855
PF05936	+	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF876)	0.852
PF08364	+	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	Bacterial translation initiation factor IF-2 associated region	0.836
PF03886	+	0.000	0.000	0.000	0.061	0.012	0.000	0.000	0.109	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF330)	0.827
PF04403	+	0.046	0.063	0.068	0.039	0.026	0.032	0.000	0.002	0.000	0.000	0.000	0.000	0.000	Paraquat-inducible protein A	0.825
PF02036	+	0.124	0.138	0.138	0.000	0.000	0.027	0.045	0.000	0.000	0.000	0.000	0.000	0.000	SCP-2 sterol transfer family	0.813
PF03502	+	0.303	0.331	0.354	0.124	0.175	0.226	0.300	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside-specific channel-forming protein, Tsx	0.804
PF13441	+	0.000	0.000	0.000	0.000	0.023	0.036	0.032	0.000	0.000	0.000	0.000	0.000	0.000	YMGG-like Gly-zipper	0.798
PF03942	+	0.014	0.024	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DTW domain	0.788
PF09317	+	0.114	0.112	0.112	0.036	0.084	0.108	0.140	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1974)	0.774
PF12857	+	0.000	0.000	0.000	0.038	0.047	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TOBE-like domain	0.754
PF06067	+	0.156	0.156	0.160	0.062	0.118	0.145	0.152	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF932)	0.738
PF03091	+	0.051	0.051	0.055	0.000	0.000	0.024	0.068	0.000	0.000	0.000	0.000	0.000	0.000	CutA1 divalent ion tolerance protein	0.733
PF10636	+	0.029	0.028	0.011	0.000	0.000	0.022	0.051	0.000	0.000	0.000	0.000	0.000	0.000	Hemin uptake protein hemP	0.723
PF12769	+	0.160	0.171	0.051	0.124	0.151	0.157	0.147	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3814)	0.706
