	class	1_0	0.7_0	0.5_0	0.2_0	0.1_0	0.05_0	0.07_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF13503	+	0.438	0.422	0.414	0.394	0.355	0.202	0.262	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4123)	0.647
PF02694	+	0.179	0.064	0.095	0.144	0.204	0.141	0.195	0.006	0.000	0.000	0.000	0.000	0.000	Uncharacterised BCR, YnfA/UPF0060 family	0.638
PF00190	+	0.252	0.168	0.150	0.165	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupin	0.613
PF06779	+	0.220	0.395	0.376	0.219	0.166	0.137	0.153	0.012	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1228)	0.597
PF02274	+	0.325	0.357	0.306	0.341	0.323	0.229	0.294	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.574
PF13577	+	0.233	0.189	0.197	0.247	0.252	0.186	0.228	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.561
PF00221	+	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aromatic amino acid lyase	0.547
PF14535	+	0.312	0.255	0.275	0.205	0.114	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.524
PF01175	+	0.000	0.298	0.299	0.107	0.063	0.005	0.058	0.000	0.000	0.000	0.000	0.000	0.000	Urocanase	0.500
PF04140	+	0.215	0.203	0.184	0.187	0.212	0.023	0.136	0.000	0.000	0.000	0.000	0.000	0.000	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	0.492
PF07719	+	0.328	0.399	0.374	0.184	0.084	0.010	0.060	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.486
PF03060	+	0.083	0.096	0.056	0.000	0.000	0.030	0.026	0.000	0.000	0.000	0.000	0.000	0.000	Nitronate monooxygenase	0.461
PF13563	+	0.000	0.125	0.103	0.072	0.102	0.091	0.085	0.000	0.000	0.000	0.000	0.000	0.000	2'-5' RNA ligase superfamily	0.461
PF02133	+	0.166	0.126	0.112	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Permease for cytosine/purines, uracil, thiamine, allantoin	0.454
PF13362	+	0.052	0.034	0.051	0.089	0.059	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	Toprim domain	0.405
PF01970	+	0.000	0.237	0.252	0.271	0.127	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	Tripartite tricarboxylate transporter TctA family	0.397
PF05544	+	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Proline racemase	0.368
PF07331	+	0.223	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tripartite tricarboxylate transporter TctB family	0.361
PF03472	+	0.193	0.113	0.064	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Autoinducer binding domain	0.358
PF04492	+	0.077	0.075	0.066	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage replication protein O	0.325
PF00848	+	0.093	0.080	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ring hydroxylating alpha subunit (catalytic domain)	0.323
PF03350	+	0.021	0.043	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein family, UPF0114	0.309
PF02517	+	0.072	0.092	0.104	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CAAX protease self-immunity	0.309
PF00932	+	0.237	0.064	0.059	0.096	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lamin Tail Domain	0.302
PF00350	+	0.337	0.309	0.348	0.257	0.167	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	Dynamin family	0.244
PF07582	+	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AP endonuclease family 2 C terminus	0.232
PF01011	+	0.106	0.070	0.094	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PQQ enzyme repeat	0.222
PF08722	-	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TnsA endonuclease N terminal	0.207
PF05199	-	0.000	-0.164	-0.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GMC oxidoreductase	0.205
